,title,href,time,pay
0,人文学院2021级翻译硕士班开展 “坚守廉洁底线、弘扬清风正气”廉洁自律教育主题班会,/2023/0407/c2314a597994/page.htm,2023/0407,30
1,人文学院MTI2022级研究生团支部开展“艰苦奋斗、强我中华”主题团日活动,/2023/0407/c2314a597968/page.htm,2023/0407,30
2,人文学院MTI2022级研究生开展“科大讯飞—人工智能之旅”主题活动,/2023/0316/c2314a595325/page.htm,2023/0316,50
3,人文学院MTI教育中心举办徽文化外宣翻译讲座,/2022/1122/c2314a581915/page.htm,2022/1122,30
4,人文学院科技传播系举办毕业论文写作与就业经验交流分享会,/2022/1117/c2314a581472/page.htm,2022/1117,30
5,人文学院科技传播系2020级本科班团支部开展“学习二十大 永远跟党走 奋进新征程”主题团日活动,/2022/1102/c2314a579456/page.htm,2022/1102,30
6,人文学院科技哲学系研究生党支部开展“二十大精神学习心得草坪恳谈会”主题党日活动,/2022/1107/c2314a579739/page.htm,2022/1107,30
7,战“疫”路上，与你同在 ——人文学院心理工作站开展线上交流座谈会,/2022/1026/c2314a578114/page.htm,2022/1026,70
8,人文学院MTI教育中心2022级研究生参观校史馆和博物馆,/2022/1020/c2314a576468/page.htm,2022/1020,30
9,心怀感恩，歌颂祖国—人文学院科技传播系2019级本科班开展观影活动,/2022/1011/c2314a575359/page.htm,2022/1011,50
10,人文学院科技史与科技考古系2020级硕博班开展“光影颂征程 礼赞二十大”国庆节观影主题团日活动,/2022/1008/c2314a574395/page.htm,2022/1008,30
11,人文学院科技哲学系研究生党支部开展走进矾山镇主题党日活动,/2022/0926/c2314a571209/page.htm,2022/0926,30
12,人文学院召开2022级研究生入学教育大会,/2022/0923/c2314a570865/page.htm,2022/0923,50
13,人文学院科技哲学系召开2022级硕博新生师生见面会,/2022/0923/c2314a570806/page.htm,2022/0923,50
14,人文学院科技哲学系2022级硕博班召开新学期第一次班会,/2022/0923/c2314a570805/page.htm,2022/0923,30
15,人文学院MTI教育中心2022级研究生观看学校研究生开学典礼暨入学教育,/2022/0919/c2314a570198/page.htm,2022/0919,30
16,人文学院MTI教育中心2022级研究生班举行“花好月圆 共庆中秋”班级活动,/2022/0914/c2314a568623/page.htm,2022/0914,30
17,人文学院MTI教育中心开展2022级翻译硕士入学教育,/2022/0913/c2314a568073/page.htm,2022/0913,70
18,【我为师生办实事】人文学院党员志愿者助力北区学生宿舍搬迁,/2022/0913/c2314a568067/page.htm,2022/0913,30
19,人文学院2020级MTI研究生班召开暑期安全教育主题班会,/2022/0715/c2314a562685/page.htm,2022/0715,70
20,人文学院研究生会召开2021-2022学年春季学期学生骨干述职评议会,/2022/0705/c2314a561815/page.htm,2022/0705,30
21,释放心灵，拥抱青春——人文学院开展心理健康教育系列活动,/2022/0610/c2314a557989/page.htm,2022/0610,30
22,一画一心，对话压力 ——人文学院科技哲学系2020级硕博班开展5·25心理健康教育活动,/2022/0606/c2314a557486/page.htm,2022/0606,50
23,人文学院2021级MTI研究生班开展主题劳动教育活动,/2022/0606/c2314a557426/page.htm,2022/0606,50
24,人文与社会科学学院英语笔译专业研究生在首届“沪江杯”科技翻译大赛中获佳绩,/2022/0601/c2314a556997/page.htm,2022/0601,30
