,title,href,time,pay
0,“少年遇伯乐——实验室来啦”第五讲：中科院量子信息重点实验室来啦！ ——杰出讲席教授李传锋作《量子信息——第二次量子革命的基石》主题报告,/2023/0429/c2314a601076/page.htm,2023/0429,50
1,信息科学技术学院召开研究生座谈会,/2023/0427/c2314a600812/page.htm,2023/0427,50
2,大数据学院2022级研究生电子信息班召开廉洁教育主题班会,/2023/0418/c2314a599540/page.htm,2023/0418,30
3,“心”委相伴 从“信”出发—信息学院心理健康工作站召开心理委员培训会,/2023/0417/c2314a599114/page.htm,2023/0417,30
4,图书整理 共沐书香——信息学院本科2002班开展“图书整理共沐书香”活动,/2023/0410/c2314a598120/page.htm,2023/0410,30
5,信息学院召开班主任工作例会及心理健康二级站工作推进会,/2023/0410/c2314a598162/page.htm,2023/0410,30
6,信息科学技术学院 召开2022届本科毕业生座谈会暨就业工作推进会议,/2023/0410/c2314a598146/page.htm,2023/0410,30
7,凝聚组织力量 不负三月时光——信息学院本科2002班开展“图书整理共沐书香”活动,/2023/0410/c2314a598121/page.htm,2023/0410,50
8,中国科学技术大学第九届信息安全大赛（Hackergame 2022）圆满落幕,/2023/0404/c2314a597744/page.htm,2023/0404,70
9,信息学院组织召开2019级本科生毕业论文指导交流分享会,/2023/0411/c2314a598305/page.htm,2023/0411,30
10,消防安全伴我心 亲身体验出真知——信息学院本科2002班开展消防安全学习与实践班级活动,/2023/0410/c2314a598119/page.htm,2023/0410,30
11,信息学院本科2201班开展“奖助学金入班级”宣讲活动,/2023/0410/c2314a598118/page.htm,2023/0410,30
12,注重积累，夯实基础；把握机会，获得成功——信息学院本科2202班召开综合测评办法解读班会,/2023/0410/c2314a598116/page.htm,2023/0410,30
13,学习雷锋好榜样 争做时代好青年——信息学院本科2001班开展弘扬雷锋精神主题团日活动,/2023/0410/c2314a598115/page.htm,2023/0410,30
14,重温科大校史  传承科大精神——信息学院本科2201班组织学生参观博物馆和校史馆,/2023/0410/c2314a598114/page.htm,2023/0410,30
15,资助政策筑梦，国家未来有我—信息学院本科2202班开展学生资助政策宣传主题班会,/2023/0410/c2314a598113/page.htm,2023/0410,30
16,“明灯引路，未来可期”-信息学院组织学生参加语音国家工程研究中心第八届OPEN DAY活动,/2023/0328/c2314a596710/page.htm,2023/0328,70
17,信息安全师生联合党支部组织观看党的二十大开幕式,/2022/1025/c2314a577955/page.htm,2022/1025,30
18,大数据学院2021级电子信息硕士班召开“提高安全防范意识，谨防网络诈骗”主题班会,/2022/0930/c2314a572344/page.htm,2022/0930,30
19,信息安全师生联合党支部学习习近平总书记在中央政治局第四十一次集体学习时的重要讲话精神,/2022/0926/c2314a571257/page.htm,2022/0926,50
20,大数据学院2022级研究生电子信息班召开第一次班会,/2022/0922/c2314a570748/page.htm,2022/0922,30
21,家校共建，携手创未来——信息学院开设2022级新生家长课堂,/2022/0916/c2314a569994/page.htm,2022/0916,50
22,信息科技英才班“2022年创新创业企业见习”活动圆满成功,/2022/0722/c2314a563326/page.htm,2022/0722,30
23, “我为师生办实事”   ——信息科学技术学院组织开展党员助力搬迁志愿服务活动,/2022/0721/c2314a563136/page.htm,2022/0721,70
24,软件学院20级网络信息安全2班禁毒宣传主题班会活动,/2022/0630/c2314a561525/page.htm,2022/0630,30
25,软件学院20级网络信息安全1班禁毒安全教育主题班会,/2022/0630/c2314a561524/page.htm,2022/0630,30
26,软件学院19级网络信息安全2班禁毒宣传主题班会,/2022/0630/c2314a561512/page.htm,2022/0630,50
27,软件学院19级网络信息安全1班禁毒宣传主题班会,/2022/0630/c2314a561511/page.htm,2022/0630,30
28,“信”仰之跃 梦在不“息”：信息科学技术学院2022届本科生毕业典礼圆满落幕,/2022/0627/c2314a560963/page.htm,2022/0627,50
29, 大数据学院2020级电子信息专业硕士团支部举办“四史”学习实践主题团日活动,/2022/0624/c2314a560778/page.htm,2022/0624,30
30,绘青春 向未来——信息科学技术学院心理健康节系列活动顺利开展,/2022/0602/c2314a557059/page.htm,2022/0602,30
31,信息科学技术学院本科1901班举办制作青团主题活动,/2022/0525/c2314a555933/page.htm,2022/0525,30
