,title,href,time,pay
0,“用心倾听 陪伴成长”先进技术研究院2023年春季学期第二次师生交流会顺利举办,/2023/0412/c2314a598492/page.htm,2023/0412,50
1,“春日田间劳作，学习红色精神”——先进技术研究院研究生第六党支部与先进技术研究院2022级硕士1班团支部开展主题党日、团日联合活动,/2023/0410/c2314a598181/page.htm,2023/0410,50
2,先进技术研究院研究生会组织开展“缅怀先烈，致敬英雄”主题祭扫活动暨研究生支部主题党日活动,/2023/0410/c2314a598179/page.htm,2023/0410,70
3,先进技术研究院2021级硕士2班团支部成功开展“缅怀先烈，传承精神”主题团日活动,/2023/0410/c2314a598176/page.htm,2023/0410,30
4,“学习雷锋，传递真善美”先进技术研究院2021级硕士3班主题团日活动成功举办,/2023/0406/c2314a597813/page.htm,2023/0406,30
5,学习党和团的百年奋斗史——先进技术研究院2022级硕士1班团支部主题团日活动,/2023/0404/c2314a597722/page.htm,2023/0404,30
6,聆听政府工作报告，学习全国两会精神——先进技术研究院2022级硕士1班团支部主题团日活动,/2023/0404/c2314a597721/page.htm,2023/0404,30
7,先进技术研究院2021级硕士2班团支部“艰苦奋斗，强我中华”学习两会精神暨班委换届主题团日活动,/2023/0404/c2314a597717/page.htm,2023/0404,30
8,“用心倾听 陪伴成长”先进技术研究院  2023年春季学期第一次师生交流会顺利举办,/2023/0330/c2314a597033/page.htm,2023/0330,70
9,先进技术研究院2020级硕士4班开展“艰苦奋斗，强我中华”主题班会暨团日活动,/2023/0330/c2314a597032/page.htm,2023/0330,30
10,【“学雷锋”活动月】中国科学技术大学先进技术研究院研究生会开展“雷锋精神伴我行，电子义诊显真情”志愿服务活动,/2023/0328/c2314a596743/page.htm,2023/0328,50
11,先进技术研究院组织开展雷锋月主题党日活动,/2023/0327/c2314a596499/page.htm,2023/0327,50
12,先进技术研究院研究生会全体大会暨年度总结会成功举办,/2023/0308/c2314a594187/page.htm,2023/0308,50
13,先进技术研究2021级硕士2班举办集中观看“双创汇”启动仪式主题团日活动,/2023/0301/c2314a593640/page.htm,2023/0301,30
14,先进技术研究2020级硕士3班举办集中观看“双创汇”启动仪式主题团日活动,/2023/0221/c2314a592699/page.htm,2023/0221,50
15,先进技术研究院2022级硕士2班团支部组织学习新思想争做新青年主题团日活动,/2023/0110/c2314a590186/page.htm,2023/0110,30
16,先进技术研究院2022级硕士2班团支部参观校史馆、博物馆，传承老一辈科学家精神团日活动,/2023/0110/c2314a590185/page.htm,2023/0110,30
17,先进技术研究院2020级硕士4班开展“喜迎二十大、永远跟党走、奋进新征程”主题学习宣传贯彻党的二十大精神专题活动,/2023/0105/c2314a589715/page.htm,2023/0105,30
18,先进技术研究院2021级硕士2班举办“激扬绿荫，澎湃青春”  世界杯决赛线上观赛主题团日活动,/2023/0105/c2314a589712/page.htm,2023/0105,30
19, “喜迎二十大，永远跟党走，奋进新征程”先进技术研究院2022年英文演讲比赛暨第二届中国科大“寰宇杯”英文演讲比赛院内选拔赛顺利举行,/2022/1101/c2314a579376/page.htm,2022/1101,30
20,“用心倾听 陪伴成长”先进技术研究院  2022年秋季学期第一次师生交流会顺利举办,/2022/1027/c2314a578213/page.htm,2022/1027,30
21, “吐故纳新揽同道，薪火相传谱新篇”先进技术研究院研究生会2022年秋季招新面试顺利举行,/2022/1021/c2314a576610/page.htm,2022/1021,50
22,先进技术研究院2021级硕士2班团支部线上观看党的二十大开幕会直播,/2023/0105/c2314a589711/page.htm,2023/0105,50
23,天涯明月常相忆，为贺中秋赋新诗——  先进技术研究院举办迎新生 “中秋诗会”活动,/2022/1027/c2314a578216/page.htm,2022/1027,30
24,飒爽金秋，扬帆启航  ——中国科学技术大学先进技术研究院喜迎2022级新生,/2022/1027/c2314a578215/page.htm,2022/1027,30
25,先进技术研究院研究生会获评“四星级院系研究生会”,/2022/0620/c2314a560243/page.htm,2022/0620,30
26,“用心倾听 陪伴成长”先进技术研究院2022年春季学期第二次师生交流会顺利举办,/2022/0613/c2314a558182/page.htm,2022/0613,30
