,title,href,time,pay
0,公共事务学院2021级法律硕士班党支部开展 “筑牢思想根基，凝聚奋进力量”主题党日活动,/2023/0428/c2314a600998/page.htm,2023/0428,50
1,公共事务学院2022级法律硕士班党支部赴合肥蜀山烈士陵园开展“学习新思想，传承先烈志”主题党日活动暨团日活动,/2023/0428/c2314a600925/page.htm,2023/0428,50
2,公共事务学院2021级、2020级公管法学研究生党支部联合开展就业经验分享主题党日活动,/2023/0427/c2314a600872/page.htm,2023/0427,30
3,公共事务学院2021级公管法学研究生党支部开展“学习贯彻习近平新时代中国特色社会主义思想主题教育”主题党日活动,/2023/0427/c2314a600871/page.htm,2023/0427,50
4,“忆精神廉作风，艰苦奋斗正当时” 公共事务学院2021级公管法学团支部开展主题班会暨理论学习活动,/2023/0427/c2314a600869/page.htm,2023/0427,70
5,公共事务学院团委联合合肥市边检站开展“4•15全民国家安全教育日”普法宣传活动,/2023/0427/c2314a600868/page.htm,2023/0427,30
6,公共事务学院2021级法律硕士班团支部开展 “与国同安，与党同安”国家安全主题团日活动,/2023/0427/c2314a600865/page.htm,2023/0427,30
7,公共事务学院2022级法律硕士班团支部举行团员推优大会,/2023/0427/c2314a600864/page.htm,2023/0427,50
8,公共事务学院2020级公管法学研究生党支部开展 “感悟思想伟力 凝聚奋进力量”主题党日活动,/2023/0425/c2314a600489/page.htm,2023/0425,30
9,中国科学技术大学公共事务学院第十二次研究生代表大会顺利召开,/2023/0421/c2314a600075/page.htm,2023/0421,70
10,奋进新征程 建功新时代——公共事务学院顺利举办春季拔河比赛,/2023/0420/c2314a600002/page.htm,2023/0420,30
11,公共事务学院2022级公管法学研究生党支部开展“重走‘科学家精神之路’，深悟科学家精神”主题党日活动暨团日活动,/2023/0413/c2314a598622/page.htm,2023/0413,50
12,公共事务学院2020级法律硕士班党支部召开习近平总书记在全国两会闭幕式上的讲话精神专题学习会,/2023/0407/c2314a597983/page.htm,2023/0407,30
13,公共事务学院2021级法硕班团支部开展“争做新青年、永远跟党走、阔步新征程”专题团课活动,/2023/0407/c2314a597981/page.htm,2023/0407,30
14,公共事务学院2022级公管法学研究生党支部赴安徽名人馆开展“名人风骨千古流芳 奋斗精神永续传承”主题党日活动暨团日活动,/2023/0331/c2314a597135/page.htm,2023/0331,30
15,公共事务学院2022级公共管理硕士（MPA）赴南京中山陵开展“读万卷书，行万里路”主题党日活动,/2023/0328/c2314a596697/page.htm,2023/0328,30
16,公共事务学院2022级公管法学研究生党支部开展“凝心聚力再出发，砥砺奋进新征程”党课学习活动,/2023/0323/c2314a596211/page.htm,2023/0323,50
17,公共事务学院2022级法律硕士班党支部召开2022年度组织生活会,/2023/0323/c2314a596188/page.htm,2023/0323,50
18,公共事务学院2022级法律硕士班党支部开展“学雷锋、强党性、践初心”主题党日活动,/2023/0322/c2314a596051/page.htm,2023/0322,30
19,公共事务学院2021级法律硕士班党支部开展“踔厉奋发新征程，勇毅前行向复兴”主题党日活动,/2023/0322/c2314a596050/page.htm,2023/0322,50
20,公共事务学院2021级公管法学研究生党支部开展“植树添绿 党旗增辉”主题党日活动,/2023/0311/c2314a594788/page.htm,2023/0311,30
21,公共事务学院2021级公管法学研究生党支部开展“深入学习二十大精神，踔厉奋发开新局”主题党日活动,/2023/0309/c2314a594261/page.htm,2023/0309,50
22,公共事务学院2022级公管法学研究生党支部开展“学习贯彻党的二十大精神，开启中国式现代化的新长征”主题党日活动,/2023/0223/c2314a593148/page.htm,2023/0223,30
