,title,href,time,pay
0,冠军杯足球赛化学与材料科学学院4:0大胜管数联队,/2023/0428/c2314a601049/page.htm,2023/0428,50
1,化学与材料科学学院纳米学院成功举办第一届“科纳杯”运动赛,/2023/0425/c2314a600516/page.htm,2023/0425,70
2,化学与材料科学学院纳米学院学生第十一党支部开展“增强文化自信，传承历史文脉”主题党日活动,/2023/0420/c2314a599952/page.htm,2023/0420,70
3,享同读 品经典——化学与材料科学学院材料科学与工程系2022级本科生团支部开展“悦读”系列活动,/2023/0420/c2314a599951/page.htm,2023/0420,30
4,春日话前程——化学与材料科学学院材料科学与工程系2022级本科1班举行生涯规划座谈会,/2023/0420/c2314a599950/page.htm,2023/0420,30
5,化学与材料科学学院纳米学院学生第十二党支部开展“学思践悟强信念，凝心铸魂谋新篇”2022年度组织生活会和民主评议党员,/2023/0420/c2314a599949/page.htm,2023/0420,50
6,化学与材料科学学院纳米学院学生第十二党支部开展“缅怀革命先烈，弘扬烈士精神”主题党日活动,/2023/0420/c2314a599946/page.htm,2023/0420,70
7,化学与材料科学学院22级本科3班、4班联合升旗仪式顺利举行,/2023/0418/c2314a599544/page.htm,2023/0418,70
8,规划未来，有备无患——化学与材料科学学院22级本科一二班学生参加大学生英语学习规划讲座,/2023/0411/c2314a598331/page.htm,2023/0411,30
9,“学习二十大，奋进新征程”——化学与材料科学学院清明祭扫活动,/2023/0410/c2314a598178/page.htm,2023/0410,70
10,化学与材料科学学院辩论队在第33届校辩论校赛中夺得冠军,/2023/0407/c2314a597944/page.htm,2023/0407,30
11,化学与材料科学学院材料科学与工程系2021级硕士班举办“学习二十大，永远跟党走，奋进新征程”专题组织生活会,/2023/0404/c2314a597754/page.htm,2023/0404,50
12,化学与材料科学学院材料科学与工程系2021级硕士班举办“学习二十大，永远跟党走，奋进新征程”主题团日活动,/2023/0404/c2314a597753/page.htm,2023/0404,30
13,化学与材料科学学院顺利开展研究生学位论文写作与学位申请讲座,/2023/0323/c2314a596185/page.htm,2023/0323,70
14,化学与材料科学学院成功举办“第八届化学与材料科学研究生英文学术年会”,/2023/0316/c2314a595326/page.htm,2023/0316,30
15,化学与材料科学学院20级强基班班会,/2023/0310/c2314a594436/page.htm,2023/0310,50
16,化学与材料科学学院化学系2020级本科班召开党的二十大精神学习心得线上分享会,/2022/1214/c2314a587745/page.htm,2022/1214,30
17,化学与材料科学学院纳米学院2022级1班团支部、纳米学院2022级2班团支部联合开展“学思践悟二十大、砥砺奋进新征程”主题团日活动,/2022/1212/c2314a585763/page.htm,2022/1212,30
18,化学与材料科学学院纳米学院研究生会开展“美食征集令”主题活动,/2022/1212/c2314a585762/page.htm,2022/1212,50
19,化学与材料科学学院纳米学院学生第十三党支部开展“激扬青春梦，奋进新征程”主题党日活动,/2022/1205/c2314a583609/page.htm,2022/1205,50
20,化学与材料科学学院纳米学院学生第十二党支部开展 “学习二十大，永远跟党走〞主题党日活动,/2022/1204/c2314a583608/page.htm,2022/1204,30
