,title,href,time,pay
0,大数据学院举办第二届考研经验分享会,/2023/0428/c2314a601056/page.htm,2023/0428,50
1,大数据学院举办留学经验分享会,/2023/0428/c2314a601055/page.htm,2023/0428,30
2,共学习，传经验-大数据学院高新区第一党支部与21级科学硕士班开展党团共建活动,/2023/0427/c2314a600851/page.htm,2023/0427,50
3,大数据学院2022级研究生电子信息班召开廉洁教育主题班会,/2023/0418/c2314a599540/page.htm,2023/0418,30
4,大数据学院举办研究生心理健康教育专题讲座,/2023/0414/c2314a599028/page.htm,2023/0414,30
5,大数据学院篮球队取得“科星杯”首胜,/2023/0411/c2314a598315/page.htm,2023/0411,30
6,大数据学院西区党支部开展清明节祭扫缅怀科学家活动,/2023/0412/c2314a598438/page.htm,2023/0412,50
7,大数据学院高新区第三党支部召开组织生活会及党员大会,/2023/0330/c2314a597070/page.htm,2023/0330,30
8,大数据学院高新区党支部开展党的二十大精神专题教育党课,/2023/0330/c2314a597069/page.htm,2023/0330,30
9,大数据学院团学骨干拓展训练圆满结束,/2023/0328/c2314a596751/page.htm,2023/0328,50
10,大数据学院高新区第一党支部召开组织生活会和民主评议党员,/2023/0328/c2314a596744/page.htm,2023/0328,30
11,学习党的二十大精神|大数据学院组织新发展党员赴省委党校党性教育馆参观学习,/2023/0324/c2314a596380/page.htm,2023/0324,30
12,大数据学院2021级本科生班新学期第一次班会顺利召开,/2023/0323/c2314a596167/page.htm,2023/0323,30
13,大数据学院举办首届“羽时据进” 杯师生羽毛球赛,/2023/0316/c2314a595349/page.htm,2023/0316,50
14,大数据学院召开学工会议专题研讨本科班主任全过程重点工作,/2023/0314/c2314a595050/page.htm,2023/0314,30
15,大数据学院高新区第一党支部召开2月党员大会暨实习经验分享会,/2023/0228/c2314a593513/page.htm,2023/0228,30
16,中共安徽省委党校张晓亮副教授应邀为大数据学院作党的二十大精神专题辅导报告,/2023/0225/c2314a593337/page.htm,2023/0225,30
17,大数据学院高新区第三党支部开展12月党日活动,/2023/0221/c2314a592611/page.htm,2023/0221,50
18,大数据学院看望慰问留校学生,/2023/0217/c2314a592478/page.htm,2023/0217,70
19,大数据学院学生会2022年秋季学期述职评议会成功召开,/2023/0104/c2314a589619/page.htm,2023/0104,30
20,【我为师生办实事】大数据学院各级党组织为留校学生提供爱心帮助,/2023/0103/c2314a589548/page.htm,2023/0103,30
21,学习二十大·弘扬科学家精神，勇担新时代重任——大数据学院举办弘扬科学家精神趣味知识竞赛,/2022/1129/c2314a582690/page.htm,2022/1129,30
22,大数据学院举办本科生学长经验分享会,/2022/1024/c2314a577555/page.htm,2022/1024,30
23,大数据学院党总支开展党员发展工作专项培训,/2022/1019/c2314a576420/page.htm,2022/1019,50
24,大数据学院西区第一党支部召开九月份党员大会,/2022/1008/c2314a574546/page.htm,2022/1008,70
25,大数据学院举办本科生乒乓球交流赛,/2022/1008/c2314a574542/page.htm,2022/1008,50
26,【我为师生办实事】大数据学院成功举办第二届科研经历分享会,/2022/0930/c2314a572354/page.htm,2022/0930,30
27,大数据学院2021级电子信息硕士班召开“提高安全防范意识，谨防网络诈骗”主题班会,/2022/0930/c2314a572344/page.htm,2022/0930,30
28,大数据学院2021级本科班安全教育班会,/2022/0928/c2314a571658/page.htm,2022/0928,30
29,大数据学院2022级研究生迎新大会顺利召开,/2022/0928/c2314a571654/page.htm,2022/0928,30
30,大数据学院2021级博士班开展“提高安全防范意识、谨防电信网络诈骗”安全教育主题班会,/2022/0927/c2314a571478/page.htm,2022/0927,30
31,大数据学院2021级本科生1班第一次班会顺利召开,/2022/0922/c2314a570758/page.htm,2022/0922,30
32,大数据学院2021级本科生班成功举办中秋庆祝活动,/2022/0922/c2314a570750/page.htm,2022/0922,50
33,大数据学院2022级研究生电子信息班召开第一次班会,/2022/0922/c2314a570748/page.htm,2022/0922,30
34,大数据学院2020级本科班开展四史学习活动暨述职班会,/2022/0810/c2314a563978/page.htm,2022/0810,70
35,“我为师生办实事”——大数据学院党总支开展宿舍搬迁志愿服务,/2022/0722/c2314a563255/page.htm,2022/0722,30
36,大数据学院组织暑期社会实践团队调研合肥大数据行业现状,/2022/0719/c2314a562980/page.htm,2022/0719,50
37,大数据学院瀚海数据队赴优质采公司开展调研活动,/2022/0719/c2314a562979/page.htm,2022/0719,70
38,大数据学院瀚海数据队组织开展科大国创企业调研活动,/2022/0719/c2314a562978/page.htm,2022/0719,50
39,大数据学院组织学生赴科大讯飞开展企业调研活动,/2022/0719/c2314a562977/page.htm,2022/0719,50
40,大数据学院组织学生开展华米科技暑期社会实践调研活动,/2022/0719/c2314a562976/page.htm,2022/0719,50
41,大数据学院2021级科学硕士班开展禁毒宣传主题班会暨改革开放史知识竞答活动,/2022/0714/c2314a562646/page.htm,2022/0714,50
42,大数据学院高新区第一党支部赴安徽省数据资源管理局参观交流,/2022/0711/c2314a562248/page.htm,2022/0711,30
43, 大数据学院2020级电子信息专业硕士团支部举办“四史”学习实践主题团日活动,/2022/0624/c2314a560778/page.htm,2022/0624,30
44,致敬改革开放，携手共创未来——  大数据学院高新区第一、第二党支部联合开展改革开放史知识竞答活动,/2022/0622/c2314a560522/page.htm,2022/0622,30
45,大数据学院高新区第一党支部召开6月集体学习暨党员大会,/2022/0622/c2314a560520/page.htm,2022/0622,30
46,喜迎二十大·讲述百年奋斗史，传承科教报国魂——大数据学院举办“四史”宣讲活动,/2022/0614/c2314a558296/page.htm,2022/0614,70
47,喜迎二十大·大数据学院第三期“据峰咖会”毕业生专场活动暨西区第二党支部主题党日活动顺利开展,/2022/0614/c2314a558287/page.htm,2022/0614,30
48,大数据学院毕业生专场趣味运动会成功举办,/2022/0608/c2314a557821/page.htm,2022/0608,30
49,大数据学院2020级本科班开展心理健康教育主题活动,/2022/0608/c2314a557817/page.htm,2022/0608,30
