,title,href,time,pay
0,少年班学院开展2023年“少年遇伯乐•参观实验室”活动,/2023/0429/c2314a601082/page.htm,2023/0429,70
1,少年班学院2023年春季学期体育提升营顺利开营,/2023/0429/c2314a601081/page.htm,2023/0429,50
2,访学新气象 逐梦新征程——少年班学院赴苏州开展蔷薇访学活动,/2023/0429/c2314a601080/page.htm,2023/0429,70
3,少年班学院举办2023年蔷薇访学（合肥）首次活动 ——参观校友企业：科大讯飞、国盾量子,/2023/0429/c2314a601079/page.htm,2023/0429,50
4,少年班学院英语口语沙龙活动圆满举行,/2023/0429/c2314a601078/page.htm,2023/0429,30
5,少年班学院举办英语提升营讲座活动——出国暑研项目申请指导,/2023/0429/c2314a601077/page.htm,2023/0429,30
6,“少年遇伯乐——实验室来啦”第四讲：精准智能化学重点实验室来啦！ ——少年班学院党总支书记、化学物理系教授李震宇作《拥抱化学精准、智能化的未来》主题报告,/2023/0429/c2314a601075/page.htm,2023/0429,70
7,少年班学院赴浙江大学参加第六届长三角高校荣誉学院青年交流论坛,/2023/0429/c2314a601072/page.htm,2023/0429,50
8,少年班学院党总支开展学生骨干廉洁教育,/2023/0429/c2314a601071/page.htm,2023/0429,30
9,少年班学院开展学工队伍专题培训,/2023/0429/c2314a601070/page.htm,2023/0429,30
10,少年班学院师生联合第一党支部召开2022年度组织生活会,/2023/0429/c2314a601069/page.htm,2023/0429,30
11,少年班学院2020级1班3班联合举办保研和境外升学报告会,/2023/0428/c2314a600889/page.htm,2023/0428,30
12,少年班学院召开化学和材料专业班座谈会,/2023/0423/c2314a600288/page.htm,2023/0423,30
13,少年班学院2021级2班举行团支部推优入党大会,/2023/0417/c2314a599159/page.htm,2023/0417,30
14,少年班学院2020级6班奖学金评选和暑研知识讲座,/2023/0414/c2314a599027/page.htm,2023/0414,50
15,少年班学院2021级2班举行“独立学习，共话成长”主题班会暨经验分享会,/2023/0413/c2314a598676/page.htm,2023/0413,50
16,少年班学院2020级2班举行班级春游活动,/2023/0410/c2314a598194/page.htm,2023/0410,70
17,少年班学院2022级2班举办女生节活动,/2023/0410/c2314a598095/page.htm,2023/0410,30
18,少年班学院2022级2班参加“美食与生活”劳动实践课堂,/2023/0410/c2314a598094/page.htm,2023/0410,50
19,踏青寻美赏春光——少年班学院2019级少年班开展参观安徽省美术馆暨春游踏青活动,/2023/0406/c2314a597852/page.htm,2023/0406,30
20,少年班学院2021级1班举办农耕体验活动,/2023/0330/c2314a597065/page.htm,2023/0330,30
21,少年班学院2021级2班、6班开展“探访科学前沿，传承奋斗精神”科学岛大科学装置参观活动,/2023/0329/c2314a596893/page.htm,2023/0329,50
22,少年班学院2021级1班举行党员1+1结对主题班会,/2023/0324/c2314a596274/page.htm,2023/0324,30
23,赏春色满园、品古迹遗韵—少年班学院2022级3班举行春游活动,/2023/0324/c2314a596273/page.htm,2023/0324,50
24,少年班学院2021级6班开展学雷锋精神主题教育,/2023/0323/c2314a596158/page.htm,2023/0323,50
25,少年班学院举办2023年蔷薇访学（合肥）首次活动——参观校友企业：科大讯飞、国盾量子,/2023/0323/c2314a596139/page.htm,2023/0323,30
26,少年班学院2020级4班组织“春日踏青”活动,/2023/0321/c2314a595882/page.htm,2023/0321,30
27,少年班学院2021级2班开展班级春游团建活动,/2023/0320/c2314a595696/page.htm,2023/0320,30
28,少年班学院2022级4班举办春季团建活动,/2023/0315/c2314a595201/page.htm,2023/0315,30
29,少年班学院2022级4班党员1+1活动——学长经验交流分享会,/2023/0315/c2314a595200/page.htm,2023/0315,30
30,少年班学院2022级1班植树节活动顺利开展,/2023/0314/c2314a595062/page.htm,2023/0314,30
31,少年班学院2021级2班开展寒假健身跑活动,/2023/0314/c2314a595045/page.htm,2023/0314,30
32,少年班学院2021级2班举行寒假“悦读计划“读书活动,/2023/0314/c2314a595044/page.htm,2023/0314,30
33,少年班学院2020级6班举办征兵宣讲,/2023/0314/c2314a595043/page.htm,2023/0314,30
34,少年班学院2020级6班举办保研和出国班会,/2023/0314/c2314a595042/page.htm,2023/0314,30
35,少年班学院2020级5班联合物理学院2020级1班举办“新时代学习弘扬雷锋精神”主题趣味运动会,/2023/0313/c2314a594942/page.htm,2023/0313,30
36,火热军营，精彩人生——少年班学院2022级3班召开征兵宣讲大会,/2023/0313/c2314a594859/page.htm,2023/0313,50
37,少年班学院2020级4班举办“2023申请故事分享”宣讲活动,/2023/0313/c2314a594858/page.htm,2023/0313,50
38,少年班学院2022级2班举行射箭活动,/2023/0309/c2314a594302/page.htm,2023/0309,50
39,少年班学院2021级2班举行悦读计划颁奖与推优入党仪式,/2023/0308/c2314a594225/page.htm,2023/0308,50
40,少年班学院2021级2班举行“少年当向阳而生”心理团辅活动,/2023/0308/c2314a594224/page.htm,2023/0308,70
41,少年班学院2020级4班举办保研宣讲,/2023/0308/c2314a594223/page.htm,2023/0308,50
42,少年班学院2022级2班“奋进新时代”主题成就展云参观,/2023/0228/c2314a593553/page.htm,2023/0228,50
43,少年班学院2021级2班召开班级骨干述职测评会,/2023/0228/c2314a593552/page.htm,2023/0228,30
44,少年班学院2021级2班开展团支部组织生活会,/2023/0228/c2314a593551/page.htm,2023/0228,30
45,少年班学院2021级2班开展实验室与寝室用电安全教育,/2023/0228/c2314a593550/page.htm,2023/0228,30
46,辞旧迎新，大展宏“兔”——少年班学院2022级3班举办班级线上春晚,/2023/0208/c2314a591956/page.htm,2023/0208,70
47,少年班学院2022级3班召开线上安全主题班会,/2023/0109/c2314a590129/page.htm,2023/0109,50
48,少年班学院2021级6班团支部召开支部大会,/2022/1221/c2314a588960/page.htm,2022/1221,30
49,少年班学院2021级6班召开线上民主生活会暨班级评议会,/2022/1221/c2314a588961/page.htm,2022/1221,50
50,少年班学院2021级2班开展党的二十大精神学习和推优入党活动,/2022/1219/c2314a588868/page.htm,2022/1219,50
51,少年班学院2022级2班举办“学习二十大、永远跟党走、奋进新征程”手工活动,/2022/1215/c2314a587816/page.htm,2022/1215,50
52,漫谈大学生活-少年班学院2022级3班学长经验分享会,/2022/1214/c2314a586245/page.htm,2022/1214,50
53,少年班学院2020级2班举行心理健康教育主题活动,/2022/1213/c2314a585934/page.htm,2022/1213,30
54,少年班学院2021级2班开展反诈骗主题学习活动,/2022/1212/c2314a585861/page.htm,2022/1212,50
55,热情、坚持与成长——少年班学院2021级2班同学在我校RoboGame大赛中取得佳绩,/2022/1212/c2314a585859/page.htm,2022/1212,30
56,少年班学院2021级1班疫情期间关心同学活动,/2022/1205/c2314a583711/page.htm,2022/1205,30
57,科研经验分享，老师引路迷茫——少年班学院2020级6班举办科研指导会活动,/2022/1205/c2314a583710/page.htm,2022/1205,30
58,少年班学院2022级2班组织月全食观测活动,/2022/1201/c2314a583042/page.htm,2022/1201,70
59,少年班学院2022级2班组织“国庆探园”地标打卡活动,/2022/1201/c2314a583041/page.htm,2022/1201,50
60,少年班学院2021级2班举行“悦读计划”第一期暨读书心得分享活动,/2022/1201/c2314a582954/page.htm,2022/1201,30
61,少年班学院2021级1班举行保研经验分享主题班会,/2022/1123/c2314a582057/page.htm,2022/1123,30
62,少年班学院顺利举办专业班班主任聘任仪式暨交流座谈会,/2022/1125/c2314a582292/page.htm,2022/1125,30
63,少年班学院2021级6班团支部开展 “党的二十大”主题学习,/2022/1125/c2314a582291/page.htm,2022/1125,30
64,少年班学院2021级6班开展出国情况分享会暨近期班级工作总结,/2022/1125/c2314a582290/page.htm,2022/1125,30
65,少年班学院2022级1班劳动教育实训课顺利开展,/2022/1122/c2314a581873/page.htm,2022/1122,30
66,少年班学院2022级4班举行羽毛球活动,/2022/1123/c2314a582060/page.htm,2022/1123,30
67,少年班学院2022级4班举行“学习二十大，奋进新征程”主题团日活动,/2022/1123/c2314a582058/page.htm,2022/1123,50
68,少年班学院2021级1班举行“夸夸”主题班会暨班委换届选举,/2022/1123/c2314a582056/page.htm,2022/1123,30
69,少年班学院2022级2班开展学习党的二十大精神主题团日,/2022/1110/c2314a580060/page.htm,2022/1110,30
70,少年班学院2022级2班开展乒乓球赛,/2022/1110/c2314a580059/page.htm,2022/1110,30
71,少年班学院2021级6班开展“学习党的二十大”主题团日活动,/2022/1031/c2314a579264/page.htm,2022/1031,30
72,学习二十大，奋进新征程——少年班学院2022级3班开展主题团日活动,/2022/1101/c2314a579285/page.htm,2022/1101,30
73,少年班学院2021级1班、2班开展保研经验分享会,/2022/1026/c2314a578061/page.htm,2022/1026,70
74,少年班学院2022级4班举办“升旗进支部”活动,/2022/1017/c2314a575932/page.htm,2022/1017,30
75,少年班学院2021级1班举行防电诈安全宣讲主题班会,/2022/1017/c2314a575927/page.htm,2022/1017,50
76,少年班学院2019级创新试点班3班举办“喜迎二十大，永远跟党走”班级活动,/2022/1017/c2314a575925/page.htm,2022/1017,30
77,少年班学院2022级4班听取大学生涯发展规划与管理报告,/2022/1017/c2314a575817/page.htm,2022/1017,50
78,人水和谐·共护巢湖——少年班学院2022级4班举行志愿公益活动,/2022/1017/c2314a575816/page.htm,2022/1017,50
79,青春凝聚力量  劳动创造幸福—少年班学院2022级4班举办劳动教育实训活动,/2022/1017/c2314a575815/page.htm,2022/1017,30
80,少年班学院2021级3班举办“走近新时代的伟大成就”活动,/2022/1015/c2314a575754/page.htm,2022/1015,50
81,少年班学院2019级创新试点班4班、2020级2班举行学生资助政策和防电信诈骗宣传教育活动,/2022/1015/c2314a575753/page.htm,2022/1015,30
82,少年班学院2021级4班5班开展班级联谊活动,/2022/1014/c2314a575704/page.htm,2022/1014,50
83,少年班学院2020级4班召开“美好生活，安全第一”主题班会,/2022/1014/c2314a575703/page.htm,2022/1014,70
84,溯源君子德行，培育健康体魄——少年班学院2020级6班国庆射箭活动,/2022/1014/c2314a575702/page.htm,2022/1014,50
85,绿水青山，劳动浇灌幸福——少年班学院2022级3班国庆劳动教育活动纪实,/2022/1014/c2314a575701/page.htm,2022/1014,30
86,少年班学院2022级2班举办联欢晚会暨桌游活动,/2022/1014/c2314a575686/page.htm,2022/1014,70
87,少年班学院2021级6班开展“敬外交先辈，观万里归途”主题团日活动,/2022/1014/c2314a575684/page.htm,2022/1014,50
88,少年班学院2022级2班参观校史馆、博物馆,/2022/1014/c2314a575685/page.htm,2022/1014,30
89,少年班学院2021级6班开展团支部大会,/2022/1003/c2314a572953/page.htm,2022/1003,50
90,少年班学院2022级2班开展劳动教育实践活动,/2022/0930/c2314a572448/page.htm,2022/0930,30
91,少年班学院2021级6班开展假期安全主题教育活动,/2022/0929/c2314a572226/page.htm,2022/0929,70
92,少年班学院2021级3班举行推优入党大会,/2022/0929/c2314a572223/page.htm,2022/0929,30
93,少年班学院2020级7班成功举办桌游大会,/2022/0929/c2314a572215/page.htm,2022/0929,50
94,少年班学院2020级1班滨湖花生采摘劳动教育活动,/2022/0928/c2314a571649/page.htm,2022/0928,50
95,知校史，继往开来；抿校魂，薪火相传——少年班学院2022级4班校史馆参观活动,/2022/0927/c2314a571336/page.htm,2022/0927,30
96,少年班学院2022年天使杯落下帷幕，3班夺冠,/2022/0925/c2314a571121/page.htm,2022/0925,30
97,少年班学院2021级3班举办“新时代的伟大成就”主题团日活动,/2022/0922/c2314a570710/page.htm,2022/0922,30
98,  少年班学院2022级1班举办中秋晚会,/2022/0922/c2314a570713/page.htm,2022/0922,30
99,少年班学院2020级4班举行开学班会暨中秋晚会,/2022/0922/c2314a570709/page.htm,2022/0922,30
100,少年班学院2020级4班举行“喜迎二十大，弘扬老科学家精神”主题活动,/2022/0922/c2314a570708/page.htm,2022/0922,50
101,少年班学院2021级6班开展“新时代的伟大成就”主题学习会,/2022/0918/c2314a570036/page.htm,2022/0918,30
102,少年班学院2020级2班成功举办“中秋制作月饼”活动,/2022/0918/c2314a570035/page.htm,2022/0918,30
103,庆中秋万象小聚会 度佳节冰场大联欢——少年班学院2020级6班开展中秋活动,/2022/0916/c2314a569914/page.htm,2022/0916,30
104,少年班学院2022级2班开展中秋节冰皮月饼DIY活动,/2022/0914/c2314a569179/page.htm,2022/0914,50
105,少年班学院2022级2班开展“学生资助政策宣传月”活动,/2022/0914/c2314a569078/page.htm,2022/0914,50
106,秋韵盎然，佳节齐欢——记少年班学院2022级4班中秋游园会,/2022/0914/c2314a568981/page.htm,2022/0914,30
107,皎皎天上月，浓浓中秋情——记少年班学院2022级4班主题团日活动,/2022/0914/c2314a568977/page.htm,2022/0914,30
108,少年班学院2021级6班顺利举办“仲秋怀远，饼与月圆”主题团日活动,/2022/0913/c2314a568117/page.htm,2022/0913,30
109,少年班学院2021级1班、2班联合举办中秋晚会,/2022/0913/c2314a568094/page.htm,2022/0913,50
110,金秋鹏程起，月满正团圆——少年班学院2022级3班举办中秋主题活动,/2022/0913/c2314a568054/page.htm,2022/0913,50
111,少年班学院2021级3班举行2022年中秋晚会,/2022/0913/c2314a567864/page.htm,2022/0913,70
112,少年班学院2021级2班举行“大二，我们在路上”主题班会,/2022/0907/c2314a567111/page.htm,2022/0907,50
113,姚华建教授为少年班学院2022级2班3班做入学教育讲座,/2022/0906/c2314a567043/page.htm,2022/0906,50
114,少年班学院2021级3班召开本学期第一次班会暨班委、团支部换届大会,/2022/0906/c2314a567040/page.htm,2022/0906,30
115,传希望火炬，促新人成长——记少年班学院2020级6班主题班会活动,/2022/0707/c2314a561999/page.htm,2022/0707,30
116,青春不逝去，毕业不散场——少年班学院2018级创新试点班1班毕业季活动,/2022/0705/c2314a561753/page.htm,2022/0705,30
117,少年班学院2018级理科试验班1班举办毕业纪念晚会,/2022/0630/c2314a561450/page.htm,2022/0630,30
118,少年班学院成功举办2022年“初心如锦时，归来仍少年”毕业季系列活动,/2022/0628/c2314a561024/page.htm,2022/0628,30
119,聚是一团火，散作满天星——记少年班学院2018级理科试验班2班毕业季活动,/2022/0623/c2314a560712/page.htm,2022/0623,50
120,少年班学院2021级6班举办“铭记历史，拒绝毒品”主题班会,/2022/0614/c2314a558211/page.htm,2022/0614,50
121,少年班学院举办“职因有你“职业生涯规划辅导报告暨经验分享会,/2022/0613/c2314a558177/page.htm,2022/0613,50
122,少年班学院2020级1班举办“宿舍文明公约学习活动”,/2022/0612/c2314a558076/page.htm,2022/0612,30
123,少年班学院2020级1班举办“端午节宿舍公共区域清扫活动”,/2022/0612/c2314a558075/page.htm,2022/0612,70
124,少年班学院2021级1班举办端午活动,/2022/0609/c2314a557912/page.htm,2022/0609,30
125,探寻秘密背后，感悟心理健康——少年班学院2020级6班开展心理健康教育,/2022/0609/c2314a557827/page.htm,2022/0609,30
126,经验分享，扬帆起航——少年班学院2020级6班学长出国经验分享会,/2022/0609/c2314a557826/page.htm,2022/0609,30
127,鉴往学新，诚信前行——少年班学院2020级6班班会及“诚信”主题团日活动,/2022/0609/c2314a557825/page.htm,2022/0609,30
128,少年班学院2021级6班开展学习分享班会,/2022/0606/c2314a557512/page.htm,2022/0606,50
129,少年班学院2021级6班成功举行班级心理健康沙龙,/2022/0606/c2314a557511/page.htm,2022/0606,30
130,少年班学院2020级2班举行班级羽毛球联谊赛决赛,/2022/0606/c2314a557510/page.htm,2022/0606,30
131,少年班学院2021级1班与环境科学与工程系进行朋辈交流活动,/2022/0602/c2314a557123/page.htm,2022/0602,30
132,少年班学院2020级4班宿舍卫生大检查,/2022/0602/c2314a557122/page.htm,2022/0602,50
133,少年班学院2021级6班召开“纪念共青团建团百年”主题支部大会,/2022/0601/c2314a556915/page.htm,2022/0601,30
134,少年班学院2021级6班成功举办生涯规划与学术研讨主题班会活动,/2022/0601/c2314a556914/page.htm,2022/0601,50
135,少年班学院2020级7班参与《永远跟党走》五四升旗活动,/2022/0531/c2314a556830/page.htm,2022/0531,30
