,title,href,time,pay
0,工程科学学院、管理学院联队参加新生杯排球赛,/2023/0428/c2314a601033/page.htm,2023/0428,30
1,弘扬崇廉拒腐风尚，推动廉洁文化建设——工程科学学院2020级13系本科班举行廉洁教育主题班会,/2023/0428/c2314a600891/page.htm,2023/0428,30
2,工程科学学院第十二次研究生代表大会顺利召开,/2023/0427/c2314a600808/page.htm,2023/0427,70
3,工程科学学院组织英才班学生赴深圳高新企业参观学习,/2023/0421/c2314a600112/page.htm,2023/0421,70
4,工程科学学院2022级本科5班开展廉洁教育主题班会,/2023/0421/c2314a600052/page.htm,2023/0421,50
5,赓续初心使命 汲取奋斗力量 ——工程科学学院本科生党支部赴独秀园开展主题党日活动,/2023/0414/c2314a599037/page.htm,2023/0414,50
6,重走“科学家之路” 深悟科学家精神——工程科学学院举办缅怀钱学森先生特别主题党日、主题团日活动,/2023/0414/c2314a599032/page.htm,2023/0414,50
7,读万卷书，行万里路——工程科学学院英才班开展深圳研学参观活动,/2023/0413/c2314a598647/page.htm,2023/0413,70
8,无人驾驶的汽车，人人关注的社会——工程科学学院英才班同学赴元戎启行参观学习,/2023/0413/c2314a598645/page.htm,2023/0413,50
9,探索自动驾驶的“慧眼”——工程科学学院英才班同学赴深圳速腾聚创公司参观访学,/2023/0413/c2314a598638/page.htm,2023/0413,50
10,构建智能平台，打造智慧城市——工程科学学院英才班同学赴云天励飞企业参观学习,/2023/0413/c2314a598637/page.htm,2023/0413,50
11,重走“科学家之路” 深悟科学家精神——工程科学学院举办缅怀钱学森先生特别主题党日、主题团日活动,/2023/0414/c2314a599032/page.htm,2023/0414,50
12,与春天相约，一起“浇”个朋友 ——工程科学学院2022级本科1班团支部组织义务植树主题团日活动,/2023/0414/c2314a599038/page.htm,2023/0414,50
13,赓续初心使命 汲取奋斗力量 ——工程科学学院本科生党支部赴独秀园开展主题党日活动,/2023/0414/c2314a599037/page.htm,2023/0414,50
14,工程科学学院召开班主任助理工作交流会暨学业帮扶结对交流会,/2023/0331/c2314a597207/page.htm,2023/0331,30
15,"工程科学学院研究生会团支部开展“艰苦奋斗,强我中华”主题团日活动",/2023/0317/c2314a595390/page.htm,2023/0317,70
16,工程科学学院2021级本科1班举行2023春季学期第一次班会,/2023/0313/c2314a594939/page.htm,2023/0313,50
17,以美育心，以智育人 ——工程科学学院2022级本科1班赴安徽省美术馆、创新馆开展现场教学实践活动,/2023/0313/c2314a594938/page.htm,2023/0313,30
18,工程科学学院召开2023年本科生专项工作交流会,/2023/0308/c2314a594226/page.htm,2023/0308,30
19,工程科学学院精密机械与精密仪器系2020级本科班团支部举办保研经验分享会,/2022/1220/c2314a588906/page.htm,2022/1220,70
20,立足长远规划，擘画人生蓝图——工程科学学院青年志愿者协会“保研、出国、科研”经验分享交流会顺利举办,/2022/1220/c2314a588905/page.htm,2022/1220,30
21,工程科学学院2021级本科1班举行“我的大神同学”系列活动第四期,/2022/1220/c2314a588903/page.htm,2022/1220,30
22,工程科学学院2021级本科1班举行“学习领会党的二十大精神”主题团日活动,/2022/1130/c2314a582780/page.htm,2022/1130,50
23,学习党的二十大 传承科学家精神 做新时代强国青年 ——工程科学学院本科生党支部举办学习党的二十大精神主题党课,/2022/1116/c2314a581356/page.htm,2022/1116,30
24,“学习二十大，永远跟党走”——工程科学学院热科学和能源工程系22级硕士生党支部党史知识竞答活动暨趣味运动会顺利举行,/2022/1117/c2314a581449/page.htm,2022/1117,50
25,学习二十大 奋进新征程——工程科学学院2022级硕士生党支部联合开展主题党日活动,/2022/1118/c2314a581549/page.htm,2022/1118,30
26,工程科学学院2021级本科1班举行飞盘体验活动,/2022/1110/c2314a580026/page.htm,2022/1110,30
27,封闭管理下的暖心守护——工程科学学院留守学工队伍工作纪实,/2022/1107/c2314a579642/page.htm,2022/1107,30
28,工程科学学院开展 “跟院长聊天”活动,/2022/1105/c2314a579578/page.htm,2022/1105,50
29,挑战未知问题、  激发创新动力 ——工程科学学院2021级本科1班举行“我的大神同学”系列活动第三期,/2022/1105/c2314a579573/page.htm,2022/1105,70
30,工程科学学院2021级本科1班参观渡江战役纪念馆和安徽名人馆,/2022/1029/c2314a578866/page.htm,2022/1029,70
31, “向未来走一小步”——工程科学学院热科学和能源工程系实验室介绍会暨经验分享会成功举办,/2022/1029/c2314a578862/page.htm,2022/1029,70
32,工程科学学院2021级钱学森力学科技英才班学生在深圳零一学院2022暑期学校取得优异成绩,/2022/1029/c2314a578861/page.htm,2022/1029,30
33,工程科学学院22级本科5班开展 “趣味识党团”主题团日活动,/2022/1025/c2314a577968/page.htm,2022/1025,30
34,工程科学学院副院长倪勇为近代力学系2020级本科生介绍高端制造创新型人才国际合作培养项目,/2022/1017/c2314a575836/page.htm,2022/1017,30
35,工程科学学院成功举办“‘工’迎国庆、‘橄’为人先”学生腰旗橄榄球联赛,/2022/1017/c2314a575835/page.htm,2022/1017,50
36,工程科学学院2022级本科1班开展革命传统教育主题团日活动,/2022/1010/c2314a575047/page.htm,2022/1010,30
37,工程科学学院学生会团建活动顺利进行,/2022/1010/c2314a575044/page.htm,2022/1010,30
38,工程科学学院2021级本科1班召开学生资助政策宣传主题班会,/2022/1010/c2314a575039/page.htm,2022/1010,30
39,喜迎二十大 奋进新征程——工程科学学院青年志愿者协会主题团日活动顺利举行,/2022/1010/c2314a575033/page.htm,2022/1010,50
40,工程科学学院团委举办2022级本科新生主题团课,/2022/0921/c2314a570627/page.htm,2022/0921,30
41,共度中秋佳节 同品传统之美——工程科学学院2021级本科4班、5班举办  “月夜欢聚”中秋晚会,/2022/0919/c2314a570082/page.htm,2022/0919,30
42,“了解心理  关注健康”工程科学学院2020级本科4班心理健康教育主题观影活动,/2022/0722/c2314a563254/page.htm,2022/0722,30
43,工程科学学院2020级本科4班组织开展“做香囊，迎端午”主题团日活动,/2022/0722/c2314a563253/page.htm,2022/0722,50
44,工程科学学院2020级本科4班成功举办名师分享会,/2022/0721/c2314a563201/page.htm,2022/0721,30
45,工程科学学院2020级本科4班积极参与“喜迎二十大、青春谱华章”拔河比赛,/2022/0721/c2314a563200/page.htm,2022/0721,50
46,工程科学学院2020级本科4班举办2022年度春季学期疫情防控安排会暨反诈教育宣传主题班会,/2022/0721/c2314a563197/page.htm,2022/0721,30
47,体育强身，健康强国——2020级工程科学学院本科1班体育健康打卡项目正式结项,/2022/0708/c2314a562124/page.htm,2022/0708,50
48, “铭记历史 拒绝毒品” —工程科学学院热科学和能源工程系2020级硕士班召开禁毒宣传主题班会,/2022/0704/c2314a561718/page.htm,2022/0704,30
49,工程科学学院近代力学系2019级本科班召开“珍爱生命 拒绝毒品”主题班会,/2022/0704/c2314a561715/page.htm,2022/0704,30
50,绿色无毒 健康人生——工程科学学院2020级本科1班召开禁毒教育主题班会,/2022/0704/c2314a561709/page.htm,2022/0704,50
51,工程科学学院2020级本科2班召开禁毒主题班会暨班委述职报告会,/2022/0630/c2314a561490/page.htm,2022/0630,30
52,工程科学学院2021级本科4班开展禁毒宣传教育主题班会,/2022/0630/c2314a561487/page.htm,2022/0630,50
53,工程科学学院精密机械与精密仪器系2020级硕士班召开禁毒主题班会,/2022/0630/c2314a561485/page.htm,2022/0630,50
54,工程科学学院精密机械与精密仪器系2021级硕士2班举行禁毒教育主题班会,/2022/0629/c2314a561179/page.htm,2022/0629,30
