,title,href,time,pay
0,职上青云丨见微“职”著——微尺度就业经验分享会成功举办,/2023/0426/c2314a600694/page.htm,2023/0426,70
1,微尺度举办第二届师生羽毛球赛：体现团结互助的精神风貌,/2023/0426/c2314a600683/page.htm,2023/0426,70
2,“致敬先烈，礼赞生命”微尺度磁学实验室团日活动,/2023/0417/c2314a599132/page.htm,2023/0417,30
3,微尺度2022级硕博2班参加“蜗壳工坊”系列活动之美食课堂,/2023/0410/c2314a598153/page.htm,2023/0410,30
4,微尺度2020级硕博2班召开廉洁教育主题班会,/2023/0406/c2314a597802/page.htm,2023/0406,30
5,微尺度2017级1班、2017级2班及高年级研究生班联合召开 “廉以修身 俭以养德”主题班会,/2023/0403/c2314a597352/page.htm,2023/0403,30
6,“聚焦美好祖国”——微尺度2021级2班举办国庆摄影大赛暨颁奖典礼,/2023/0324/c2314a596367/page.htm,2023/0324,30
7,微尺度2021级2班召开廉洁教育活动月主题班会,/2023/0324/c2314a596366/page.htm,2023/0324,30
8,微尺度2021级2班举办“学习弘扬新时代雷锋精神”主题团日活动,/2023/0324/c2314a596364/page.htm,2023/0324,50
9,传承雷锋精神，踏时代新征程——微尺度2021级3班团日活动,/2023/0320/c2314a595684/page.htm,2023/0320,50
10,微尺度2021级举办“建功新时代·我爱中科大”主题校园摄影比赛,/2023/0110/c2314a590195/page.htm,2023/0110,30
11,合肥微尺度物质科学国家研究中心成功召开第十六届研究生学术论坛,/2023/0104/c2314a589615/page.htm,2023/0104,70
12,微尺度2020级硕博2班开展“学习二十大、永远跟党走、奋进新征程”羽毛球比赛,/2022/1201/c2314a583184/page.htm,2022/1201,30
13,微尺度团委开展“学习二十大、永远跟党走、奋进新征程”系列活动之安全知识竞赛,/2022/1205/c2314a583679/page.htm,2022/1205,50
14,微尺度2019级1班开展“新时代十年伟大变革”主题党日活动,/2022/1201/c2314a583186/page.htm,2022/1201,50
15,学习二十大，微尺度2022级研究生二班党支部组织召开主题党日活动,/2022/1101/c2314a579303/page.htm,2022/1101,50
16,微尺度2022级硕博2班组织开展参观校史馆活动,/2022/1108/c2314a579819/page.htm,2022/1108,30
17,微尺度2022级硕博2班推优入党团支部大会顺利召开,/2022/1108/c2314a579813/page.htm,2022/1108,70
18,学习二十大，微尺度2022级研究生二班党支部组织召开主题党日活动,/2022/1101/c2314a579303/page.htm,2022/1101,50
19,微尺度2019级2班集中学习党的二十大报告,/2022/1101/c2314a579301/page.htm,2022/1101,30
20,微尺度2020级1班开展“学习二十大，奋进新征程，永远跟党走”主题团日活动,/2022/1101/c2314a579300/page.htm,2022/1101,30
21,微尺度2021级2班反诈宣传主题班会顺利开展,/2022/1012/c2314a575495/page.htm,2022/1012,30
22,“欢度国庆节，喜迎二十大” 微尺度2021级国庆线上有奖答题活动,/2022/1012/c2314a575494/page.htm,2022/1012,50
23,微尺度2021级3班开展反诈宣传主题班会,/2022/0929/c2314a572195/page.htm,2022/0929,30
24,微尺度2022年青年马克思主义者培养工程院级团校顺利举办,/2022/0921/c2314a570554/page.htm,2022/0921,30
25,微尺度2021级1班、2班和3班召开资助主题线上班会,/2022/0921/c2314a570558/page.htm,2022/0921,70
26,微尺度18级1班、2班团支部“喜迎二十大，共庆中秋节”联合主题团日活动,/2022/0913/c2314a568091/page.htm,2022/0913,30
27,微尺度21级二班“青春有我，与心同行”主题团日活动,/2022/0823/c2314a565626/page.htm,2022/0823,30
28,微尺度2021级2班团支部举办禁毒宣传主题班会,/2022/0704/c2314a561696/page.htm,2022/0704,30
29,微尺度科技成果展讲解活动,/2022/0617/c2314a559959/page.htm,2022/0617,30
30,微尺度2020级1班“青春心向党，百年再起航” 党团联合主题活动,/2022/0617/c2314a559961/page.htm,2022/0617,50
31,微尺度召开团支部书记工作例会暨集中学习习近平总书记在庆祝建团100周年大会讲话精神,/2022/0617/c2314a559960/page.htm,2022/0617,30
32,人生万事须自为，跬步江山即寥廓——微尺度毕业生就业形势与政策宣讲会,/2022/0617/c2314a559958/page.htm,2022/0617,70
33,微尺度2020级硕士博士2班开展线上观影活动,/2022/0609/c2314a557876/page.htm,2022/0609,30
34,微尺度2019级1班诚信教育主题班会暨庆端午活动,/2022/0608/c2314a557761/page.htm,2022/0608,30
35,疫情成长，从心出发——微尺度2021级3班“525”主题班会,/2022/0606/c2314a557432/page.htm,2022/0606,30
36,微尺度2018级1班举办诚信教育主题班会,/2022/0606/c2314a557431/page.htm,2022/0606,50
37,2018级微尺度硕士博士2班举办“诚信教育”主题班会活动,/2022/0602/c2314a557091/page.htm,2022/0602,30
38,微尺度2018级硕士博士2班组织召开“疫情成长，从心出发”主题班会,/2022/0602/c2314a557087/page.htm,2022/0602,70
39,微尺度2021级1班举办“疫境成长，从心出发” 主题团日活动,/2022/0531/c2314a556673/page.htm,2022/0531,30
40,微尺度2021级1班举办“诚以养德，信以立身”主题班会,/2022/0531/c2314a556671/page.htm,2022/0531,30
41,合肥微尺度物质科学国家研究中心成功举办第二届研究生英文学术论坛,/2022/0527/c2314a556329/page.htm,2022/0527,50
