,title,href,time,pay
0,创“芯”之力，“芯”火相传——微电子学院开展校企交流研讨活动  ​,/2023/0427/c2314a600827/page.htm,2023/0427,70
1,中国科大微电子学院第二次研究生代表大会顺利召开,/2023/0426/c2314a600636/page.htm,2023/0426,70
2,“芯”动奔跑—微电子学院举办捉迷藏活动,/2023/0425/c2314a600485/page.htm,2023/0425,50
3,微电子学院召开2023年春季学期第二次团支部书记工作例会,/2023/0414/c2314a598766/page.htm,2023/0414,30
4,微电子学院2021级本科生班召开廉洁教育主题班会,/2023/0414/c2314a598762/page.htm,2023/0414,50
5,微电子学院2021级本科班开展义务植树活动,/2023/0327/c2314a596480/page.htm,2023/0327,70
6,微电子学院2021级本科生班赴科大讯飞参观学习,/2023/0327/c2314a596478/page.htm,2023/0327,30
7,微电子学院召开学生骨干工作会暨党班团一体化工作交流会,/2023/0322/c2314a595945/page.htm,2023/0322,50
8,凝“芯”铸魂  踔厉奋发——微电子学院本科生党支部召开2022年度组织生活会并开展民主评议党员,/2023/0321/c2314a595887/page.htm,2023/0321,50
9,微电子学院2022级硕士第二党支部召开2022年度组织生活会并开展民主评议党员,/2023/0318/c2314a595561/page.htm,2023/0318,70
10,义务植树添“芯”绿 生态文明植“芯”底——微电子学院2022级中微集成电路科技英才班开展义务植树活动,/2023/0318/c2314a595553/page.htm,2023/0318,50
11,微电子学院2022级硕士第一党支部召开2022年度组织生活会并开展民主评议党员,/2023/0318/c2314a595552/page.htm,2023/0318,70
12,微电子学院2022级硕士第二党支部召开支部党员大会暨“开学第一课”主题党日活动,/2023/0302/c2314a593706/page.htm,2023/0302,30
13,凝“芯”聚力 共创未来——微电子学院21级硕士班举办党班团一体化拓展交流活动,/2022/1216/c2314a588637/page.htm,2022/1216,70
14,微电子学院举办第三届“电子杯”篮球比赛,/2022/1209/c2314a585055/page.htm,2022/1209,30
15,发挥党员先锋模范作用，筑牢校园疫情防控屏障——微电子学院21级博士党支部开展疫情防控主题党日活动,/2022/1117/c2314a581470/page.htm,2022/1117,50
16,激发奋进力量，勇担时代使命——微电子学院21级博士党、班、团开展学习宣传党的二十大精神系列活动,/2022/1117/c2314a581469/page.htm,2022/1117,30
17,微电子学院2022级代培生硕博班举办“认真学习领会党的二十大精神，同心奋进新时代”主题学习活动,/2022/1029/c2314a578876/page.htm,2022/1029,50
18,永远跟党走，奋进新征程——微电子学院2022级本科生班深入学习宣传党的二十大精神,/2022/1103/c2314a579508/page.htm,2022/1103,50
19,微电子学院举办2022年“芯”向未来就业分享会,/2022/1103/c2314a579507/page.htm,2022/1103,30
20,微电子学院举办2022级中微集成电路科技英才班师生交流会,/2022/0919/c2314a570100/page.htm,2022/0919,30
21,微电子学院2022级硕士第二党支部召开成立大会暨支部委员会选举大会,/2022/1013/c2314a575546/page.htm,2022/1013,30
22,微电子学院2021级本科班资助政策宣传主题班会,/2022/1009/c2314a574697/page.htm,2022/1009,50
23,微电子学院本科生党支部开展“赓续红色基因 弘扬科学家精神”主题党日活动,/2022/1009/c2314a574695/page.htm,2022/1009,70
24,多措并举，让“学习强国”蔚然成风 ——微电子学院21级博士党支部开展“学习强国”知识竞赛主题党日活动,/2022/0920/c2314a570277/page.htm,2022/0920,50
25,微电子学院召开第一次学生代表大会,/2022/0928/c2314a571893/page.htm,2022/0928,70
26,微电子学院举行2022级研究生新生入学教育,/2022/0921/c2314a570540/page.htm,2022/0921,30
27,微电子学院研究生会成立大会暨第一次研究生代表大会顺利召开,/2022/0920/c2314a570276/page.htm,2022/0920,30
28,微电子学院团总支成立大会暨第一次团员代表大会顺利召开,/2022/0920/c2314a570275/page.htm,2022/0920,30
29,微电子学院21级硕士1班团支委举办换届大会,/2022/0920/c2314a570274/page.htm,2022/0920,30
30,奋进新征程，建功新时代   ——微电子学院21级博士党支部开展弘扬科学家精神主题党日活动,/2022/0916/c2314a569978/page.htm,2022/0916,50
31,微电子学院2022级中微集成电路科技英才班举办系列迎新活动,/2022/0913/c2314a568075/page.htm,2022/0913,50
32,微电子学院2022级中微集成电路科技英才班举办系列迎新活动,/2022/0913/c2314a568075/page.htm,2022/0913,50
33,赓续精神血脉 传承红色基因—微电子学院2022级中微集成电路科技英才班开展系列入学教育活动,/2022/0909/c2314a567575/page.htm,2022/0909,30
34,立志报家国，规划创未来—微电子学院2022级中微集成电路科技英才班开展大学生涯发展与规划培训活动,/2022/0909/c2314a567574/page.htm,2022/0909,50
