,title,href,time,pay
0,火灾科学国家重点实验室2020级博士班第一党支部召开组织生活会和民主评议党员会,/2023/0426/c2314a600671/page.htm,2023/0426,30
1,火灾科学国家重点实验室2023年科技活动周顺利收官,/2023/0426/c2314a600738/page.htm,2023/0426,70
2,火灾科学国家重点实验室第十二次研究生代表大会顺利召开,/2023/0426/c2314a600699/page.htm,2023/0426,70
3,火灾科学国家重点实验室2023年安全科学研究生论坛顺利召开,/2023/0426/c2314a600698/page.htm,2023/0426,70
4,火灾科学国家重点实验室2021级硕士班合肥植物园春游活动,/2023/0426/c2314a600697/page.htm,2023/0426,30
5,火灾科学国家重点实验室2022级硕士班第一、第二党团支部开展参观渡江战役纪念馆党日活动,/2023/0426/c2314a600696/page.htm,2023/0426,30
6,火灾科学国家重点实验室2021级硕士班《玲芽之旅》观影班级活动,/2023/0426/c2314a600672/page.htm,2023/0426,30
7,火灾科学国家重点实验室2021级博士班第一党支部开展组织生活会及民主评议党员会议,/2023/0426/c2314a600670/page.htm,2023/0426,30
8,火灾科学国家重点实验室研究生会开展“学习二十大，奋进新征程”读书分享会主题团日活动,/2023/0404/c2314a597560/page.htm,2023/0404,30
9,火灾科学国家重点实验室2022级博士班团支部、2020级硕士班第一党支部开展“参观渡江战役纪念馆及解放战争主题知识问答”党团共建活动,/2023/0329/c2314a596892/page.htm,2023/0329,70
10,火灾科学国家重点实验室2021级博士班第一党支部举行“学习习近平总书记重要讲话”会议,/2023/0328/c2314a596779/page.htm,2023/0328,30
11,火灾科学国家重点实验室2020级博士班团支部开展安全宣传教育团日活动,/2023/0323/c2314a596107/page.htm,2023/0323,50
12,火灾科学国家重点实验室第十九届研究生会第三次例会顺利召开,/2023/0316/c2314a595322/page.htm,2023/0316,30
13,火灾科学国家重点实验室2022级硕士班第一党支部召开预备党员转正大会,/2023/0316/c2314a595320/page.htm,2023/0316,30
14,火灾科学国家重点实验室2020级硕士班第一党支部召开预备党员转正大会,/2023/0305/c2314a593831/page.htm,2023/0305,50
15,火灾科学国家重点实验室2020级博士班第一党支部开展2月支部学习会,/2023/0219/c2314a592521/page.htm,2023/0219,30
16,火灾科学国家重点实验室研究生会学生骨干评议会顺利召开,/2023/0103/c2314a589485/page.htm,2023/0103,30
17,火灾科学国家重点实验室研究生会第二次例会顺利召开,/2022/1209/c2314a585106/page.htm,2022/1209,30
18,火灾科学国家重点实验室2022级硕士班举行“乒乓健身、强国有我”主题团日活动,/2022/1209/c2314a585105/page.htm,2022/1209,30
19,火灾科学国家重点实验室财务技能培训讲座顺利举办,/2022/1209/c2314a584986/page.htm,2022/1209,30
20,火灾科学国家重点实验室2022级硕士班第一党支部举办深入学习贯彻党的二十大精神活动,/2022/1201/c2314a583155/page.htm,2022/1201,30
21,“学习二十大，永远跟党走，奋进新征程”——火灾科学国家重点实验室2021级博士班第一党支部党日活动,/2022/1201/c2314a583154/page.htm,2022/1201,30
22, 火灾科学国家重点实验室2022级硕士班第一党支部开展党的二十大报告要点学习主题党日活动,/2022/1201/c2314a583153/page.htm,2022/1201,50
23,火灾科学国家重点实验室2021级博士班第二党支部召开预备党员发展大会,/2022/1125/c2314a582272/page.htm,2022/1125,30
24, 火灾科学国家重点实验室2021级博士班第一党支部召开预备党员发展大会,/2022/1125/c2314a582271/page.htm,2022/1125,50
25,“劳动创造智慧 青春建设未来”火灾科学国家重点实验室劳动教育实训活动顺利开展,/2022/1124/c2314a582259/page.htm,2022/1124,50
26,解读“新观点、新思想”——火灾科学国家重点实验室2020级博士第二党支部组织学习党的二十大报告,/2022/1111/c2314a580165/page.htm,2022/1111,30
27,火灾科学国家重点实验室2020级博士班第一党支部开展学习党的二十大会议精神及知识竞赛活动,/2022/1105/c2314a579577/page.htm,2022/1105,30
28,火灾科学国家重点实验室2020级博士班第二党支部举办“党史在我心”党史知识竞赛,/2022/1105/c2314a579576/page.htm,2022/1105,50
29,火灾科学国家重点实验室2021级博士班第二党支部举办“党的二十大报告要点学习”主题党日活动,/2022/1103/c2314a579503/page.htm,2022/1103,50
30,火灾科学国家重点实验室2021级博士班第一党支部举办“学习二十大、永远跟党走、奋进新征程——党的二十大报告学习”活动,/2022/1103/c2314a579501/page.htm,2022/1103,30
31,火灾科学国家重点实验室2022级博士班团支部举办“党的二十大精神学习”团日活动,/2022/1103/c2314a579502/page.htm,2022/1103,30
32,火灾科学国家重点实验室2022级博士班团支部举办“学习校史、科学家精神”团日活动,/2022/1028/c2314a578526/page.htm,2022/1028,30
33,火灾科学国家重点实验室2022级研究生参观校史馆、博物馆,/2022/1028/c2314a578532/page.htm,2022/1028,50
34,火灾科学国家重点实验室2020级硕士班举行党的二十大报告学习会,/2022/1028/c2314a578528/page.htm,2022/1028,30
35,火灾科学国家重点实验室2021级博士班党支部开展支部委员会议,/2022/1028/c2314a578525/page.htm,2022/1028,30
36,火灾科学国家重点实验室2021级硕士班团支部顺利开展“学习二十大，永远跟党走，奋进新征程”观看党的二十大闭幕团日活动,/2022/1028/c2314a578524/page.htm,2022/1028,50
37,火灾科学国家重点实验室2020级硕士班召开“防范电信诈骗”主题班会,/2022/1026/c2314a578107/page.htm,2022/1026,30
38,火灾科学国家重点实验室2022级博士班团支部举办“学习校史、科学家精神”主题团日活动,/2022/1013/c2314a575609/page.htm,2022/1013,50
39,火灾科学国家重点实验室2020级博士班第一党支部召开预备党员转正大会,/2022/1013/c2314a575608/page.htm,2022/1013,30
40,火灾科学国家重点实验室2019级火灾本科班“喜迎二十大”国庆素质拓展活动圆满结束,/2022/1008/c2314a574584/page.htm,2022/1008,50
41,火灾科学国家重点实验室2021级博士班第一党支部召开预备党员转正大会,/2022/1008/c2314a574586/page.htm,2022/1008,30
42,火灾科学国家重点实验室2022级研究生班开展团歌、校歌教唱团日活动,/2022/1008/c2314a574585/page.htm,2022/1008,30
43,“如何利用图书馆资源”——火灾科学国家重点实验室2022级新生图书馆培训顺利开展,/2022/0929/c2314a572224/page.htm,2022/0929,50
44,火灾科学国家重点实验室开展2022级研究生系列入学教育,/2022/0927/c2314a571419/page.htm,2022/0927,30
45,火灾科学国家重点实验室2021级博士班第一党支部召开党支部委员会选举会议,/2022/0923/c2314a570960/page.htm,2022/0923,30
46,火灾科学国家重点实验室2022级研究生开展研究生学风建设和保密安全教育,/2022/0923/c2314a570956/page.htm,2022/0923,30
47,火灾科学国家重点实验室第一期干部技能培训活动顺利举办,/2022/0922/c2314a570711/page.htm,2022/0922,30
48,火灾科学国家重点实验室2022年青马培训工程院级团校第二讲顺利进行,/2022/0922/c2314a570688/page.htm,2022/0922,30
49,火灾科学国家重点实验室2022级研究生新生参加学校研究生开学典礼,/2022/0921/c2314a570624/page.htm,2022/0921,50
50,火灾科学国家重点实验室2022年青年马克思主义者培养工程院级团校第一、二次课程顺利举办,/2022/0921/c2314a570618/page.htm,2022/0921,30
51,火灾科学国家重点实验室2020级博士班第一党支部举行《台湾问题与新时代中国统一事业》白皮书学习会,/2022/0831/c2314a566180/page.htm,2022/0831,50
52,火灾科学国家重点实验室2021级硕士班第二党支部“政治生日”主题党日活动顺利举行,/2022/0630/c2314a561442/page.htm,2022/0630,30
53,火灾科学国家重点实验室2020级博士班第一党支部开展4-6月党的路线与方针学习会,/2022/0623/c2314a560708/page.htm,2022/0623,50
54,火灾科学国家重点实验室2020级硕士第二党支部“峥嵘百年史，砥砺少年行”主题党日活动顺利举行,/2022/0623/c2314a560709/page.htm,2022/0623,50
