,title,href,time,pay
0,弘扬廉洁文化 涵养时代新风——热科学和能源工程系2019级本科班召开廉洁教育主题班会,/2023/0421/c2314a600113/page.htm,2023/0421,30
1,走进历史，缅怀英烈——热科学和能源工程系2022级代培生党支部开展参观渡江战役纪念馆主题党日活动,/2023/0414/c2314a599035/page.htm,2023/0414,30
2,热科学和能源工程系2022博士生党支部开展“重温二十大报告与新党章”主题党日活动,/2023/0323/c2314a596113/page.htm,2023/0323,30
3,热科学和能源工程系2022级博士生党支部召开组织生活会暨民主评议党员大会,/2023/0323/c2314a596111/page.htm,2023/0323,30
4,热科学和能源工程系2022级代培生党支部开展“二十大精神与党章领学”主题党日活动,/2023/0323/c2314a596115/page.htm,2023/0323,30
5,“学习二十大，永远跟党走”——工程科学学院热科学和能源工程系22级硕士生党支部党史知识竞答活动暨趣味运动会顺利举行,/2022/1117/c2314a581449/page.htm,2022/1117,50
6, “向未来走一小步”——工程科学学院热科学和能源工程系实验室介绍会暨经验分享会成功举办,/2022/1029/c2314a578862/page.htm,2022/1029,70
7,喜迎二十大 携手展风华——热科学和能源工程系2019级本科班举办“国庆游巢湖”主题团日活动,/2022/1010/c2314a575056/page.htm,2022/1010,30
8,热科学和能源工程系2020级本科班 入党教育暨破冰大会,/2022/0927/c2314a571381/page.htm,2022/0927,30
9, “铭记历史 拒绝毒品” —工程科学学院热科学和能源工程系2020级硕士班召开禁毒宣传主题班会,/2022/0704/c2314a561718/page.htm,2022/0704,30
10,工程科学学院热科学和能源工程系2019级本科班召开禁毒宣传主题班会,/2022/0629/c2314a561177/page.htm,2022/0629,50
11,工程科学学院热科学和能源工程系2019级本科班举行禁毒宣传主题班会,/2022/0620/c2314a560231/page.htm,2022/0620,30
12,百年辉煌 ‘羽’你同庆 ——热科学和能源工程系硕士班举办庆祝建团100周年羽毛球友谊赛,/2022/0609/c2314a557861/page.htm,2022/0609,50
13,疫境成长 从“心”出发 ——热科学和能源工程系2020级硕士班举办心理健康主题团日活动,/2022/0609/c2314a557858/page.htm,2022/0609,30
