,title,href,time,pay
0,物理学院近代物理系召开“廉洁教育”主题班会,/2023/0419/c2314a599787/page.htm,2023/0419,50
1,物理学院2022级本科5班举行清明节祭扫献花活动,/2023/0419/c2314a599762/page.htm,2023/0419,30
2,走进高新企业，展望未来职业——物理学院研究生参观高新企业,/2023/0419/c2314a599722/page.htm,2023/0419,70
3,物理学院2022级本科2班清明节开展纪念老科学家活动,/2023/0410/c2314a598158/page.htm,2023/0410,50
4,春日植树，栽培生机——物理学院2022级本科5班举行植树活动,/2023/0410/c2314a598156/page.htm,2023/0410,50
5,物理学院组织清明节爱国主义教育实践团日活动,/2023/0406/c2314a597817/page.htm,2023/0406,70
6,物理学院团委组织观看《闪亮的名字——2022年度最美大学生/最美辅导员发布仪式》,/2023/0403/c2314a597439/page.htm,2023/0403,50
7,2022级物理学院三班班会及高年级学长交流会,/2023/0403/c2314a597425/page.htm,2023/0403,50
8,物理学院2022级本科4班举行植树节活动,/2023/0328/c2314a596803/page.htm,2023/0328,50
9,物理学院2022级本科二班举办植树实践活动,/2023/0328/c2314a596761/page.htm,2023/0328,50
10,物理学院2022级本科三班举行大蜀山春游活动,/2023/0328/c2314a596683/page.htm,2023/0328,50
11,物理学院2022级本科4班举行《流浪地球2》观影活动,/2023/0328/c2314a596681/page.htm,2023/0328,30
12,物理学院2022级本科1班举行义务植树活动,/2023/0328/c2314a596679/page.htm,2023/0328,50
13,花香鸟语，共迎春华——物理学院2020级4班举办游览合肥植物园活动,/2023/0328/c2314a596677/page.htm,2023/0328,30
14,夸父追日 逐梦未来——物理学院学子赴科学岛参观,/2023/0328/c2314a596676/page.htm,2023/0328,70
15,物理学院2021级3班组织植树节踏春活动,/2023/0322/c2314a595952/page.htm,2023/0322,50
16,物理学院2020级本科1班举办保研前期工作定心会,/2023/0321/c2314a595814/page.htm,2023/0321,30
17,物理学院团委举行2023年支教经验分享会,/2023/0321/c2314a595813/page.htm,2023/0321,50
18,少年班学院2020级5班联合物理学院2020级1班举办“新时代学习弘扬雷锋精神”主题趣味运动会,/2023/0313/c2314a594942/page.htm,2023/0313,30
19,物理学院团委召开2023学年春季学期第一次例会,/2023/0313/c2314a594937/page.htm,2023/0313,50
20,物理学院2020级本科1班举办征兵宣传班会,/2023/0311/c2314a594759/page.htm,2023/0311,30
21,览科大校史，学科学家精神 ——物理学院物理系2022级硕士代培生主题团日活动,/2023/0308/c2314a594152/page.htm,2023/0308,30
22,观抗美援朝电影，悟艰苦奋斗精神 ——物理学院天文系研究生团支部举行国庆观影活动,/2023/0308/c2314a594150/page.htm,2023/0308,30
23,勿忘“九·一八”——物理学院2020级本科1班举办主题团日活动,/2023/0308/c2314a594147/page.htm,2023/0308,50
24,物理学院师生共话世界杯活动成功举办,/2023/0306/c2314a593952/page.htm,2023/0306,30
