,title,href,time,pay
0,触摸前沿科技，追寻科学之光——环境科学与工程系2022级科技英才班赴中国环境谷、科学岛参观学习,/2023/0428/c2314a600890/page.htm,2023/0428,50
1,【我为群众办实事】走进自然，寓学于趣——环境科学与工程系党总支组织研究生党员赴科大幼儿园开展生态环境科普教育活动,/2023/0424/c2314a600453/page.htm,2023/0424,50
2,【我为群众办实事】一颗小水滴的“奇幻之旅”——环境科学与工程系党总支组织研究生党员赴科大附中小学部开展环保科普宣传活动,/2023/0421/c2314a600098/page.htm,2023/0421,50
3,环境科学与工程系第三次研究生代表大会胜利召开,/2023/0421/c2314a600096/page.htm,2023/0421,70
4,环境科学与工程系2020级硕士博士班召开廉洁教育主题班会,/2023/0413/c2314a598633/page.htm,2023/0413,30
5,挥桨泛舟，荡涤身心——环境科学与工程系2022级本科班开展龙舟体验主题团日活动,/2023/0411/c2314a598423/page.htm,2023/0411,30
6,环境科学与工程系举办青春“境”技提升营第九场讲座——“选择社会需求，实现自我价值”就业辅导活动,/2023/0407/c2314a597965/page.htm,2023/0407,50
7,廉洁润初心 铸魂担使命——环境科学与工程系2022级本科班召开廉洁教育主题班会,/2023/0403/c2314a597426/page.htm,2023/0403,30
8,环境科学与工程系举办青春“境”技提升营第八场讲座——“关于未来，我要想想”生涯规划团体辅导活动,/2023/0327/c2314a596575/page.htm,2023/0327,50
9,发扬民主、提质创优——环境科学与工程系研究生第三党支部召开2022年度组织生活会并开展民主评议党员,/2023/0327/c2314a596574/page.htm,2023/0327,50
10,"“境”享学术,“境”向未来——环境科学与工程系举办第三期研究生学术分享交流会",/2023/0322/c2314a595978/page.htm,2023/0322,70
11,肩负历史使命，坚定前进信心——环境科学与工程系召开2022-2023学年春季学期团总支工作会议暨团支部书记工作例会,/2023/0322/c2314a595953/page.htm,2023/0322,50
12,勇立潮头、勇毅前行——环境科学与工程系研究生第一党支部召开2022年度组织生活会并开展民主评议党员,/2023/0322/c2314a595951/page.htm,2023/0322,30
13,凝心聚力、奋楫笃行——环境科学与工程系研究生第二党支部召开2022年度组织生活会并开展民主评议党员,/2023/0321/c2314a595884/page.htm,2023/0321,50
14,环境科学与工程系举办青春“境”技提升营第七场讲座——“心由境造，境由心生”心理辅导活动,/2023/0316/c2314a595336/page.htm,2023/0316,70
15,守护绿水青山，追寻红色印记——环境科学与工程系2022级本科班开展主题团日活动,/2023/0307/c2314a594130/page.htm,2023/0307,70
