,title,href,time,pay
0,生医部开展长征主题体验式党史学习教育活动,/2023/0426/c2314a600639/page.htm,2023/0426,70
1,生医部组织研究生就业参观活动,/2023/0421/c2314a600081/page.htm,2023/0421,30
2,游历史古镇，品传承精神  --生医部本科生第二党支部三河古镇党团共建活动,/2023/0421/c2314a600071/page.htm,2023/0421,50
3,院士面对面——记生医部贝时璋科技英才班午餐座谈会,/2023/0420/c2314a600006/page.htm,2023/0420,30
4,生医部研究生会组织开展——清明节踏青献花活动,/2023/0412/c2314a598564/page.htm,2023/0412,30
5,传承红色精神，汲取奋进力量——生医部医学英才班开展主题党日活动,/2023/0412/c2314a598475/page.htm,2023/0412,30
6,梨花风起正清明，缅怀历史须传承———生医部组织清明南京游学党团活动,/2023/0407/c2314a597992/page.htm,2023/0407,50
7,宿郊野踏青觅春，学雷锋传承美德——生医部2021级本科班成功举办“学雷锋”主题团日活动,/2023/0407/c2314a598002/page.htm,2023/0407,30
8,生医部组织本科生参观安徽智飞龙科马生物制药有限公司,/2023/0330/c2314a597104/page.htm,2023/0330,70
9,生医部临床2022级团支部开展“团结奋进，学雷锋”主题班会暨“团结奋进，学雷锋”活动,/2023/0330/c2314a597086/page.htm,2023/0330,50
10,邂逅春光| 生医部2022级本科班春季户外踏青主题团日活动,/2023/0330/c2314a597085/page.htm,2023/0330,30
11,生医部2022及临床医学团支部开展“雷锋精神主题党日，共话集体主义精神”活动,/2023/0329/c2314a596917/page.htm,2023/0329,50
12,生医部研究生会成功举办女生节活动,/2023/0327/c2314a596568/page.htm,2023/0327,50
13,生医部2021及研究生团支部开展“艰苦奋斗强我中华——传承雷锋精神 播种绿色希望”植树活动,/2023/0327/c2314a596563/page.htm,2023/0327,30
14,夯实学科基础，争做技术能手——生医部开展实验知识技能大赛,/2022/1216/c2314a588640/page.htm,2022/1216,50
15,2022年生医部 “友谊杯”秋季羽毛球比赛成功举办,/2022/1130/c2314a582744/page.htm,2022/1130,50
16,“乒”战群雄，谁“羽”争锋  ——生医部2020级本科生羽毛球赛和乒乓球赛顺利举行,/2022/1006/c2314a573974/page.htm,2022/1006,30
17,生医部党团共建组织爱国主题观影主题党团活动,/2022/1006/c2314a573966/page.htm,2022/1006,30
18,生医部研究生会开展“喜迎二十大，奋进新征程”主题团日活动,/2022/1006/c2314a573944/page.htm,2022/1006,30
19,生医部“新光璀璨”迎新晚会成功举办,/2022/1006/c2314a573937/page.htm,2022/1006,70
20,生医部2021级本科班举办国家资助政策宣传活动,/2022/0930/c2314a572528/page.htm,2022/0930,30
21,生医部组织研究生新生线上参加2022级研究生开学典礼、入学教育,/2022/0925/c2314a571116/page.htm,2022/0925,50
22,参观渡江战役纪念馆及安徽名人馆  --生医部本科生第二党支部开展党团共建活动,/2022/0925/c2314a571114/page.htm,2022/0925,50
23,生医部2022级研究生入学教育暨迎新会会议顺利召开,/2022/0914/c2314a568684/page.htm,2022/0914,30
24,迎新同学，展新风貌--生医部2022级研究生迎新工作圆满落幕,/2022/0906/c2314a567018/page.htm,2022/0906,70
25,飒爽金秋时，缘聚中科大--生医部2022级迎新工作圆满落幕,/2022/0822/c2314a564447/page.htm,2022/0822,30
26,生医部本科生第一党支部开展志愿服务主题党日活动,/2022/0609/c2314a557886/page.htm,2022/0609,30
27,春日的别离歌——生医部学生会开展“凝春”植物凝胶活动,/2022/0607/c2314a557576/page.htm,2022/0607,30
28,赞美他人 悦纳自己——生医部5.25主题活动,/2022/0526/c2314a556226/page.htm,2022/0526,30
29,生医部研究生会顺利举办“盛世中华体验官”活动,/2022/0526/c2314a556186/page.htm,2022/0526,30
