,title,href,time,pay
0,点亮科学之光、共赏科学之美 —科技传播系2022级研究生党支部开展参观科学摄影展主题党日活动,/2023/0413/c2314a598612/page.htm,2023/0413,50
1,科技传播系2022级硕士博士班举办“共建树林计划”党团共建活动,/2023/0313/c2314a594894/page.htm,2023/0313,50
2,“学习二十大、永远跟党走、奋进新征程”  ——科技传播系20级硕博班团支部召开专题组织生活会及团员教育评议,/2022/1215/c2314a588351/page.htm,2022/1215,30
3,“我与冬日里的校园”摄影比赛—— 科技传播系2022级硕士1班主题团日活动顺利举行,/2022/1214/c2314a587743/page.htm,2022/1214,30
4,科技传播系2021级硕博班成功举办“学习二十大，青春著华章”征文活动,/2022/1214/c2314a587741/page.htm,2022/1214,50
5,人文学院科技传播系举办毕业论文写作与就业经验交流分享会,/2022/1117/c2314a581472/page.htm,2022/1117,30
6,人文学院科技传播系2020级本科班团支部开展“学习二十大 永远跟党走 奋进新征程”主题团日活动,/2022/1102/c2314a579456/page.htm,2022/1102,30
7,矢志不渝、笃行不怠、不负时代、不负人民 —科技传播系2022级研究生党支部组织观看党的二十大开幕会活动,/2022/1102/c2314a579453/page.htm,2022/1102,30
8,科技传播系2022级硕博班团支部开展“学习二十大、永远跟党走、奋进新征程”主题团日活动,/2022/1102/c2314a579459/page.htm,2022/1102,30
9,科技传播系2020级研究生党支部参加二十大精神解读专题党课学习,/2022/1106/c2314a579592/page.htm,2022/1106,50
10,心怀感恩，歌颂祖国—人文学院科技传播系2019级本科班开展观影活动,/2022/1011/c2314a575359/page.htm,2022/1011,50
11,科技传播系2021级硕博班举办“了解心理测试，走进‘MBTI’”心理健康教育活动,/2022/0629/c2314a561261/page.htm,2022/0629,30
12,科技传播系2020级硕博班开展禁毒宣传主题班会暨学生骨干述职评议,/2022/0627/c2314a560931/page.htm,2022/0627,30
13,科技传播系2021级硕士博士班成功举办“我的入团故事”征文活动,/2022/0614/c2314a558253/page.htm,2022/0614,30
