,title,href,time,pay
0,2022级管理学院本科1班廉洁教育主题班会,/2023/0428/c2314a600959/page.htm,2023/0428,50
1,2022级管理学院本科1班举办 五一节假日安全教育主题班会,/2023/0428/c2314a600958/page.htm,2023/0428,30
2,工程科学学院、管理学院联队参加新生杯排球赛,/2023/0428/c2314a601033/page.htm,2023/0428,30
3,浸润茶叶文化，践行志愿精神——管理学院主题志愿活动顺利举行,/2023/0419/c2314a599785/page.htm,2023/0419,30
4,弓开满月，箭似流星--管理学院2022级本科生开展射箭主题团日活动,/2023/0417/c2314a599134/page.htm,2023/0417,70
5,管理学院22级本科1班2班羽毛球赛,/2023/0413/c2314a598608/page.htm,2023/0413,50
6,中国科学技术大学管理学院研究生会“我先对你说 我们在意你” 雷锋月主题活动顺利举办,/2023/0412/c2314a598566/page.htm,2023/0412,30
7,弘扬传统文化 增强文化自信——管理学院开展“探寻文明曙光”主题团日活动,/2023/0411/c2314a598388/page.htm,2023/0411,70
8,清明祭英烈，赓续科大魂  ——管理学院2022级本科一班团支部举行清明祭扫仪式,/2023/0410/c2314a598264/page.htm,2023/0410,70
9,植物园踏青——管理学院2021级管科硕士团支部主题团日活动,/2023/0410/c2314a598263/page.htm,2023/0410,30
10,弘扬优秀传统文化 筑牢文化自信根基  ——管理学院举办“樱华游艺会”传统文化游园活动,/2023/0410/c2314a598254/page.htm,2023/0410,70
11,“扣好人生的第一粒扣子”——管理学院2022级工商管理党支部召开廉洁教育主题党日活动,/2023/0407/c2314a598025/page.htm,2023/0407,50
12,管理学院2021统计专业本科班开展廉洁教育主题班会,/2023/0406/c2314a597878/page.htm,2023/0406,30
13,管理学院2020级统计专业本科班团支部团日活动——清明观影,/2023/0406/c2314a597877/page.htm,2023/0406,30
14,管理学院2020级统计专业本科班户外烧烤活动,/2023/0406/c2314a597876/page.htm,2023/0406,30
15,管理学院2020级统计本科班——出国交流会,/2023/0406/c2314a597875/page.htm,2023/0406,50
16,管理学院2022级全日制MBA第一党支部开展主题党日活动,/2023/0329/c2314a596967/page.htm,2023/0329,50
17,管理学院举办学生心理健康教育专题报告会,/2023/0329/c2314a596952/page.htm,2023/0329,50
18,管理学院统计与金融系2020级统计本科班举办保研经验分享会,/2023/0329/c2314a596937/page.htm,2023/0329,30
19,管理学院2022级本科一班举办安全教育主题班会,/2023/0324/c2314a596321/page.htm,2023/0324,30
20, “践行雷锋精神，传递温暖之光”——管理学院2022级管理科学专业研究生班团支部线上志愿交流会顺利展开,/2023/0324/c2314a596320/page.htm,2023/0324,50
21,管理学院学术微沙龙活动成功举办——一起开启“研究生生涯狂飙之旅”,/2023/0324/c2314a596303/page.htm,2023/0324,70
22,管理学院2019级金融专业本科班举办开学班会,/2023/0323/c2314a596251/page.htm,2023/0323,50
23,“学习二十大、永远跟党走、奋进新征程”——管理学院工商管理系2021级硕士班团支部开展“学习长征精神”主题团日活动,/2023/0322/c2314a596061/page.htm,2023/0322,30
24, “学习二十大、永远跟党走、奋进新征程”——管理学院工商管理系2021级硕士班团支部开展学习党的二十大精神主题团日活动,/2023/0322/c2314a596060/page.htm,2023/0322,30
25,管理学院党委开展“学习二十大、奋进新征程”党团共建特色劳动教育实践活动,/2023/0322/c2314a595960/page.htm,2023/0322,30
26,管理学院2022“菁英汇”线上学术分享会顺利举行,/2023/0315/c2314a595234/page.htm,2023/0315,30
27,管理学院2022级博士班召开开学班会,/2023/0313/c2314a594896/page.htm,2023/0313,70
28,管理学院举办第二课堂业务专项培训会暨团支部书记例会,/2023/0313/c2314a594897/page.htm,2023/0313,30
29,新学期、新气象，重新相聚再出发——管理学院2021级统计专业本科班团支部召开春季学期第一次班会暨团支部大会,/2023/0310/c2314a594405/page.htm,2023/0310,30
30,管理学院21级工商管科班召开2023年首次班会,/2023/0309/c2314a594368/page.htm,2023/0309,50
31,中国科学技术大学管理学院研究生会 2022-2023 学年春季学期  干事大会暨表彰大会顺利召开,/2023/0309/c2314a594367/page.htm,2023/0309,70
32,"春来，我们从""心""出发——管理学院2021级统计专业本科班召开心理教育主题班会",/2023/0308/c2314a594236/page.htm,2023/0308,50
33,提升安全防护意识 欢度校园学习生活——管理学院2021级统计专业本科班召开安全教育主题班会,/2023/0308/c2314a594211/page.htm,2023/0308,50
34,强化校企联动 助力高质量就业——管理学院组织学生访问调研安永华明会计师事务所,/2023/0304/c2314a593785/page.htm,2023/0304,30
35,“学习二十大、永远跟党走、奋进新征程”——管理学院2021级统计专业本科班团支部开展专题组织生活会暨团员教育评议活动,/2023/0105/c2314a589666/page.htm,2023/0105,30
36, “学习二十大 永远跟党走 奋进新征程”   ——管理学院2021级MF（上海1班）团支部召开专题组织生活会,/2023/0104/c2314a589636/page.htm,2023/0104,30
37,管理学院2021级统计本科班开展支部团员大会暨推优入党大会,/2022/1218/c2314a588746/page.htm,2022/1218,70
38,“学习二十大、永远跟党走、奋进新征程”——管理学院2021级MF（合肥1班）硕士班团支部专题组织生活会暨团员教育评议会,/2022/1217/c2314a588733/page.htm,2022/1217,70
39,管理学院2020级统计学本科班劳动教育实训课顺利开展,/2022/1214/c2314a586236/page.htm,2022/1214,50
