,title,href,time,pay
0,精密机械与精密仪器系本硕博学生交流活动（第一期）顺利举办,/2023/0421/c2314a600033/page.htm,2023/0421,50
1,精密机械与精密仪器系本硕博学生交流系列活动第二期顺利举办,/2023/0420/c2314a599892/page.htm,2023/0420,70
2,精密机械与精密仪器系2022级硕士生党支部开展 “传承红色基因 赓续红色血脉”主题党日活动,/2023/0414/c2314a599034/page.htm,2023/0414,30
3,精密机械与精密仪器系2022级硕士生党支部开展两会学习主题党日活动,/2023/0414/c2314a599036/page.htm,2023/0414,30
4,缅怀革命先烈，传承红色精神--2022级精密机械与精密仪器系硕士班主题团日活动,/2023/0410/c2314a598169/page.htm,2023/0410,70
5,精密机械与精密仪器系2022级硕士生党支部开展两会学习主题党日活动,/2023/0414/c2314a599036/page.htm,2023/0414,30
6,研学二十大，笃行科教路——精密机械与精密仪器系2022级博士生党支部主题党日活动顺利开展,/2023/0323/c2314a596108/page.htm,2023/0323,70
7,寻迹初心路，铸育青春红——精密机械与精密仪器系2021级、2022级博士生党支部党建带团建主题活动顺利开展,/2023/0323/c2314a596106/page.htm,2023/0323,30
8,精密机械与精密仪器系2020级本科班团支部开展素质拓展主题团日活动,/2023/0321/c2314a595876/page.htm,2023/0321,70
9,精密机械与精密仪器系2022级硕士生党支部开展“喜庆党的二十大”红色观影主题党日活动,/2023/0323/c2314a596123/page.htm,2023/0323,50
10,学习新党章，汲取新力量——精密机械与精密仪器系2022级博士生党支部开展主题党日活动,/2023/0323/c2314a596120/page.htm,2023/0323,30
11,精密机械与精密仪器系2021级博士生党支部开展党史学习季之“开天辟地”主题党日活动,/2023/0323/c2314a596119/page.htm,2023/0323,30
12,精密机械与精密仪器系2022级硕士生党支部开展 “学习新党章，践行新使命”主题党日活动,/2023/0323/c2314a596117/page.htm,2023/0323,30
13,工程科学学院精密机械与精密仪器系2020级本科班团支部举办保研经验分享会,/2022/1220/c2314a588906/page.htm,2022/1220,70
14,精密机械与精密仪器系2022级硕士班党团日活动之学习“两弹一星”精神,/2022/1208/c2314a584896/page.htm,2022/1208,30
15,工程科学学院精密机械与精密仪器系2020级硕士班召开禁毒主题班会,/2022/0630/c2314a561485/page.htm,2022/0630,50
16,工程科学学院精密机械与精密仪器系2021级硕士2班举行禁毒教育主题班会,/2022/0629/c2314a561179/page.htm,2022/0629,30
17,精密机械与精密仪器系2019级硕士生党支部召开党建工作总结会议,/2022/0621/c2314a560297/page.htm,2022/0621,70
