,title,href,time,pay
0,网络空间安全学院毕业班开展滨湖公园劳动活动,/2023/0401/c2314a597306/page.htm,2023/0401,70
1,网络空间安全学院毕业班举办班级羽毛球比赛,/2023/0401/c2314a597305/page.htm,2023/0401,30
2,正逢开局起步时，继往开来再出发——网络空间安全学院21级硕士党支部召开2022年度组织生活会,/2023/0317/c2314a595489/page.htm,2023/0317,30
3,三月春晖泽润大地，两院学子同采风光——网络空间安全学院2022级本科班春日植树主题团日活动,/2023/0313/c2314a594879/page.htm,2023/0313,50
4,网络空间安全学院21级硕士党支部开展“统筹发展和安全”2月主题党日活动,/2023/0226/c2314a593343/page.htm,2023/0226,50
5,网络空间安全学院21级硕士党支部举行“二十大精神与《习近平谈治国理政》系列学习”,/2022/1201/c2314a583188/page.htm,2022/1201,30
6,网络空间安全学院本科生党支部开展“学习二十大  奋进新征程”系列活动,/2022/1125/c2314a582298/page.htm,2022/1125,50
7,“重温经典，扬帆起航” 2022级网络空间安全学院硕士1班召开新学期首次班会,/2022/1016/c2314a575802/page.htm,2022/1016,30
8,掌握历史主动，在新时代更好坚持和发展中国特色社会主义——网络空间安全学院21级硕士党支部主题党日活动,/2022/0923/c2314a570969/page.htm,2022/0923,30
9,网络空间安全学院21级硕士党支部开展2022年研究生迎新志愿活动,/2022/0906/c2314a567087/page.htm,2022/0906,30
10,一抹青春志愿红助力搬迁暖人心——网络空间安全学院本科生党支部开展宿舍搬迁志愿活动,/2022/0725/c2314a563417/page.htm,2022/0725,50
11,网络空间安全学院21级博士党支部开展“我为群众办实事”校区搬迁主题党日实践活动,/2022/0721/c2314a563235/page.htm,2022/0721,30
12,网络空间安全学院21级博士党支部主题党日活动——“奋进新征程，蓄力再出发”,/2022/0721/c2314a563234/page.htm,2022/0721,30
13,美食与生活——网络空间安全学院2019级本科班主题活动,/2022/0709/c2314a562145/page.htm,2022/0709,30
14,网络空间安全学院2020级硕士班春日植树主题团日活动,/2022/0525/c2314a555937/page.htm,2022/0525,30
15,网络空间安全学院2020级硕士班清明祭扫主题团日活动,/2022/0525/c2314a555936/page.htm,2022/0525,70
