,title,href,time,pay
0,齐抓共管聚合力 多措并举促就业  ——校就业办赴计算机学院开展就业工作调研暨计算机学院组织2023年度第二次就业工作推进会,/2023/0414/c2314a598758/page.htm,2023/0414,30
1,樱赞人逢盛世 风祝岁越遐龄  ——记计算机学院22级本科1班“樱花季·集体生日”活动,/2023/0407/c2314a597957/page.htm,2023/0407,70
2,享南京春日 奠雨花忠魂 ——记计算机学院2022级本科生南京行,/2023/0407/c2314a597975/page.htm,2023/0407,70
3,计算机学院2021级本科2班召开新学期第一次班会,/2023/0407/c2314a597971/page.htm,2023/0407,30
4,计算机学院2021级本科1班学雷锋活动顺利开展,/2023/0407/c2314a597969/page.htm,2023/0407,30
5,计算机学院2021级学硕2班 赴合肥渡江战役纪念馆开展爱国主义教育活动,/2023/0407/c2314a597962/page.htm,2023/0407,30
6,计算机学院2020级本科2班举办校园春光摄影大赛,/2023/0407/c2314a597958/page.htm,2023/0407,50
7,计算机学院2021级学硕1班2023春季学期第一次班会顺利召开,/2023/0307/c2314a594010/page.htm,2023/0307,50
8,回首来时路，凝心向未来——计算机学院研究生智能感知党支部召开2022年度组织生活会,/2023/0307/c2314a594009/page.htm,2023/0307,70
9,喜迎二十大，金秋共学习 计算机学院智能系统师生联合党支部集体收看党的二十大开幕式,/2022/1025/c2314a577951/page.htm,2022/1025,50
10,计算机学院2019级本科2班集中观看党的二十大开幕会,/2022/1025/c2314a577949/page.htm,2022/1025,30
11,计算机学院2019级本科2班举办《万里归途》观影主题活动,/2022/1025/c2314a577948/page.htm,2022/1025,30
12,观看二十大，开启新征程——计算机学院2021级本科3班团支部集中观看二十大开幕会,/2022/1025/c2314a577947/page.htm,2022/1025,50
13,2022计算机学院岸上草原露营活动顺利举办,/2022/1012/c2314a575489/page.htm,2022/1012,30
14,欢度国庆，喜迎二十大——计算机学院2020级学硕2班《新神榜•杨戬》观影活动,/2022/1012/c2314a575480/page.htm,2022/1012,30
15,迈上新台阶，携手共奋进——记计算机学院2022级科学博士班第一次班会,/2022/1012/c2314a575479/page.htm,2022/1012,50
16,计算机学院网络与计算党支部组织迎国庆优秀影片《万里归途》观看活动,/2022/1012/c2314a575477/page.htm,2022/1012,50
17,“欢度国庆，祝福祖国”——记计算机学院21级学硕二班秋季学期第一次班会成功召开,/2022/1012/c2314a575476/page.htm,2022/1012,70
18,计算机学院2022级本科1班主题团日暨安全教育等宣讲活动,/2022/1012/c2314a575475/page.htm,2022/1012,30
19,计算机学院2022级科学硕士2班首次班会圆满举办,/2022/0926/c2314a571254/page.htm,2022/0926,50
20,新学期，新起点，新征程——计算机学院2021级学硕1班2022-2023新学年第一次班会,/2022/0926/c2314a571248/page.htm,2022/0926,30
21,计算机学院召开2022级本科新生见面会,/2022/0926/c2314a571247/page.htm,2022/0926,50
22,统筹规划入学教育“组合拳”，引领强化入学教育思政课 ——计算机学院扎实开展2022级本科生入学教育系列活动,/2022/0914/c2314a569194/page.htm,2022/0914,50
23,计算机学院组织“不忘初心传承红色基因，牢记使命奋进新时代”老科学家报告会,/2022/0914/c2314a569191/page.htm,2022/0914,30
24,反诈防诈进行时——记计算机学院2021级本科3班防范电信诈骗主题班会,/2022/0914/c2314a569190/page.htm,2022/0914,30
25,开学第一课，启航新征程——计算机学院2021级本科2班开展新学期第一次班会,/2022/0914/c2314a569189/page.htm,2022/0914,30
26,计算机学院邀请我校校外辅导员上党课,/2022/0914/c2314a569187/page.htm,2022/0914,30
27,计算机学院2021级本科2班召开新转入同学座谈会,/2022/0914/c2314a569186/page.htm,2022/0914,50
28,青春正好 向光而行 ——计算机学院举办“云边心语沙龙之谈新生入学心理适应”本科生心理健康教育辅导报告,/2022/0914/c2314a569185/page.htm,2022/0914,30
29,2022年计算机学院本科新生入学教育拉开帷幕,/2022/0914/c2314a569184/page.htm,2022/0914,70
30,中国科大计算机学院2022级本科新同学顺利报到,/2022/0914/c2314a569183/page.htm,2022/0914,50
31,铭记历史，拒绝毒品——记计算机学院2021级本科3班禁毒宣传主题班会,/2022/0701/c2314a561604/page.htm,2022/0701,30
32,美好大学生活，健康心理状态 ——记计算机学院2021级本科1班心理健康主题活动,/2022/0701/c2314a561603/page.htm,2022/0701,30
33,计算机学院研究生会团支部学习习近平总书记在庆祝建团100周年大会重要讲话精神,/2022/0701/c2314a561602/page.htm,2022/0701,30
34,总结经验，备战期末——计算机学院2021级本科1班班会记录,/2022/0701/c2314a561601/page.htm,2022/0701,30
35,铭记历史，拒绝毒品——记计算机学院2021级本科3班禁毒宣传主题班会,/2022/0701/c2314a561604/page.htm,2022/0701,30
36,疫境成长，从心出发 ——计算机学院2021级本科3班心理健康教育主题观影活动,/2022/0629/c2314a561150/page.htm,2022/0629,30
37,学习系列重要讲话，争做伟大事业生力军——记计算机学院2021级本科3班学习习总书记系列讲话主题团日,/2022/0629/c2314a561149/page.htm,2022/0629,30
38,计算机学院开展“传承家乡的红色基因”思政教育作品征集活动,/2022/0629/c2314a561142/page.htm,2022/0629,70
39,计算机学院圆满完成2022年科技周展示活动,/2022/0629/c2314a561140/page.htm,2022/0629,30
40,计算机学院举办第一届“华夏计算机科技英才班”学生学术交流会,/2022/0629/c2314a561139/page.htm,2022/0629,70
41,星河瀚宇，时光“计”忆——计算机学院毕业纪念系列活动之毕业晚会圆满举行,/2022/0629/c2314a561137/page.htm,2022/0629,30
42,星河瀚宇，时光“计”忆——计算机学院2022届毕业典礼圆满结束,/2022/0629/c2314a561135/page.htm,2022/0629,50
