,title,href,time,pay
0,近代力学系2021级本科1班举行“牢记嘱托”主题团日暨“劳动安全教育”主题班会,/2023/0428/c2314a600892/page.htm,2023/0428,70
1,近代力学系举办科研育人师生座谈会,/2023/0427/c2314a600786/page.htm,2023/0427,70
2,最是一年春好处，悠悠春风催人行——近代力学系2020级本科1班参加英才班马拉松活动,/2023/0418/c2314a599582/page.htm,2023/0418,30
3,近代力学系工程博士开放实践课开辟“第二课堂”,/2023/0414/c2314a599031/page.htm,2023/0414,70
4,近代力学系2021级本科1班举行“廉洁教育”主题班会,/2023/0404/c2314a597544/page.htm,2023/0404,30
5,孟春之月，盛德在木—近代力学系2021级本科1班开展植树活动,/2023/0328/c2314a596667/page.htm,2023/0328,50
6,近代力学系2020级本科生1班举办留学/保研/考研交流会,/2023/0328/c2314a596656/page.htm,2023/0328,70
7,近代力学系2020级本科1班参观渡江战役纪念馆和安徽名人馆,/2023/0327/c2314a596456/page.htm,2023/0327,30
8,近代力学系2020级博士生党支部开展 “忆红色，展蓝图”系列之观影《中国乒乓》主题党日活动,/2023/0323/c2314a596112/page.htm,2023/0323,30
9,近代力学系2021级硕士生党支部开展观影《中国乒乓之绝地反击》活动,/2023/0323/c2314a596110/page.htm,2023/0323,30
10,近代力学系硕士生党支部联合开展“饮水思源，艰苦奋斗”主题党日活动,/2023/0323/c2314a596109/page.htm,2023/0323,50
11,孟春之月，盛德在木—近代力学系2021级本科1班开展植树活动,/2023/0328/c2314a596667/page.htm,2023/0328,50
12,艺术点亮生活——近代力学系2020级本科1班举办周常艺术拓展系列活动,/2023/0110/c2314a590226/page.htm,2023/0110,30
13,体育强身 健康强国——近代力学系2020级本科1班举办体育健康打卡活动,/2023/0110/c2314a590225/page.htm,2023/0110,30
14,“采拾微光，以明四方”——近代力学系2020级本科1班举办“采微”随笔系列活动,/2023/0110/c2314a590223/page.htm,2023/0110,30
15,近代力学系2021级博士生党支部举办学习党的二十大精神主题党日活动,/2023/0323/c2314a596124/page.htm,2023/0323,30
16,近代力学系2020级博士生党支部开展深入学习《习近平谈治国理政》第四卷主题党日活动,/2023/0323/c2314a596121/page.htm,2023/0323,30
17,近代力学系2022级硕士党支部召开“谈科研经验，讲抗疫精神”主题党日活动,/2023/0323/c2314a596118/page.htm,2023/0323,30
18,“青春‘心’征程”，你我共前行——近代力学系2020级本科1班举行心理教育观影活动,/2022/1230/c2314a589372/page.htm,2022/1230,50
19,重温入团誓言，共克疫情时坚——近代力学系2020级本科1班召开团组织生活会暨班委团支委述职班会,/2022/1228/c2314a589303/page.htm,2022/1228,30
20,近代力学系2022级硕士班团支部观影活动,/2022/1208/c2314a584904/page.htm,2022/1208,30
21,奋力拼搏，永不言弃——近代力学系2020级本科1班同学在我校RoboGame大赛中取得佳绩,/2022/1201/c2314a583134/page.htm,2022/1201,30
22,近代力学系2019级本科班举办毕业升学经验交流会,/2022/1101/c2314a579289/page.htm,2022/1101,70
23,近代力学系团总支2022级硕士班团支部观影活动,/2022/1130/c2314a582892/page.htm,2022/1130,30
24,脚踏实地 仰望星空——近代力学系执行系主任李二强向近代力学系2020级本科生介绍近代力学系实验室，分享科研人生,/2022/1017/c2314a575837/page.htm,2022/1017,30
25,工程科学学院副院长倪勇为近代力学系2020级本科生介绍高端制造创新型人才国际合作培养项目,/2022/1017/c2314a575836/page.htm,2022/1017,30
26,提高警惕 防患未然——近代力学系2020级本科1班召开国庆安全教育暨防范电信诈骗主题班会,/2022/1010/c2314a575028/page.htm,2022/1010,30
27,感恩助学•奋斗筑梦•勤俭铸人——近代力学系2020级本科1班举行线上资助宣传宣讲活动,/2022/0925/c2314a571126/page.htm,2022/0925,70
28,迎接挑战 奋力前行——近代力学系2020级本科1班举办学习经验交流会,/2022/0924/c2314a570988/page.htm,2022/0924,50
29,近代力学系2020级本科2班召开“力学科普第一讲暨2022年秋季学期第一次班会”,/2022/0921/c2314a570628/page.htm,2022/0921,30
30,喜迎二十大 欢度中秋佳节——近代力学系2020级本科1班举行迎中秋暨宿舍走访活动,/2022/0913/c2314a568132/page.htm,2022/0913,50
31,   健康人生  绿色无毒——记近代力学系2020级硕士班禁毒主题班会,/2022/0704/c2314a561720/page.htm,2022/0704,30
32,工程科学学院近代力学系2019级本科班召开“珍爱生命 拒绝毒品”主题班会,/2022/0704/c2314a561715/page.htm,2022/0704,30
33,近代力学系2021级硕士班召开“珍爱生命，远离毒品”主题班会,/2022/0704/c2314a561707/page.htm,2022/0704,30
34,铭记历史 拒绝毒品——近代力学系2021级博士班禁毒宣传主题班会活动,/2022/0630/c2314a561483/page.htm,2022/0630,50
