,title,href,time,pay
0,不负春光不负“青”——2021级统计与金融系硕士班团支部开展植物园踏青主题团日活动,/2023/0417/c2314a599131/page.htm,2023/0417,30
1,铭记历史缅怀先烈，崇尚英雄争做先锋——2021级统计与金融系硕士班团支部举办“清明祭英烈”主题团日活动,/2023/0406/c2314a597879/page.htm,2023/0406,30
2,管理学院统计与金融系2020级统计本科班举办保研经验分享会,/2023/0329/c2314a596937/page.htm,2023/0329,30
3,管理学院2019级金融专业本科班举办开学班会,/2023/0323/c2314a596251/page.htm,2023/0323,50
4,新起点，新征程，新面貌   ——22级统计与金融硕士班班级破冰活动,/2022/1101/c2314a579380/page.htm,2022/1101,50
5,金秋九月丰收季，心怀明月颂师恩   ——管理学院2022级统计与金融硕士班教师节活动,/2022/1101/c2314a579378/page.htm,2022/1101,30
6,管理学院2021级金融本科班举办参观渡江战役馆活动,/2022/1101/c2314a579377/page.htm,2022/1101,30
7,2022级管理学院本科1班入学教育系列活动之统计与金融专业新生宣讲会,/2022/1010/c2314a574960/page.htm,2022/1010,30
8,管理学院统计与金融系2021级统计班班会暨中秋联谊会顺利举办,/2022/0919/c2314a570105/page.htm,2022/0919,70
9,管理学院2019级金融专业本科班举办2022年春季学期期末班会,/2022/0628/c2314a561098/page.htm,2022/0628,70
10,管理学院2019级金融专业本科班5·25心理健康教育主题活动,/2022/0606/c2314a557497/page.htm,2022/0606,30
11,管理学院2019级金融专业本科班举办2022年春季学期5月份班会,/2022/0606/c2314a557435/page.htm,2022/0606,30
